endpoint,max_abs_w_shift,max_rel_w_shift,max_matched,min_matched
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,0.06083695953957968,0.037494426075236134,1.8780512119761588,1.0920885634698867
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,0.074633015075527,0.04697316453917698,1.8928242947085345,1.114523683689003
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,0.04847658959945278,0.0359202433105024,1.8666692199836292,1.085465659813309
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,0.041777385154567526,0.04338867895234836,1.8599703614942051,1.080150354085046
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,0.0783563980253561,0.04392173213218043,1.8965474853781195,1.101658918280338
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,0.04764975396712856,0.04640196779414034,1.8658424270501515,1.078005788313876
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,0.06252138680093222,0.038532555427982736,1.8782059376433522,1.0985645230339838
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,0.0739778408201559,0.044188413448728606,1.8921691542871975,1.0982490168314412
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,0.046002520004115866,0.040162627809825935,1.8641952781524014,1.0824463433577447
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,0.05411632182397219,0.06211299283830354,1.8639041841005628,1.0668242095443918
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,0.07555974809249477,0.04333733840115488,1.8937509798678274,1.0933933374229312
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s314,0.06783546296676235,0.0394133123055996,1.8860270936340295,1.0890185128379257
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s315,0.050123704353175924,0.04439680283130778,1.868316249678246,1.079432869609635
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s316,0.05791180199258261,0.044544847081719574,1.8747998273086937,1.079327506118539
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s317,0.05278409806808071,0.03621482674038834,1.8709765060070265,1.0852560039941506
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s318,0.07481469003280239,0.04519788954970089,1.8930059602838833,1.0955645848914766
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s319,0.06895579186996059,0.04029333448445302,1.8871473646820145,1.0969978984085202
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,0.0581075081022604,0.03540979180383966,1.876299641133523,1.091911432055558
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,0.03906787721236782,0.04192424493002172,1.8572609934744508,1.0811925957164692
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,0.04959858743270473,0.042725626792001266,1.8677911598754822,1.0806222500904537
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,0.0711016782911642,0.04253930860430183,1.8892931402869066,1.0926182049006359
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,0.05011679021438198,0.034268633193385245,1.8683093358965068,1.0866411151746944
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,0.03758986117638918,0.04314444698655811,1.854539824344487,1.080324174631817
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,0.06394924012740688,0.03517328046212637,1.8821410714841778,1.1010233290877474
lambda1_start_expansion48_s327_cont320000,0.05204309312423305,0.03179242897214597,1.870235539329619,1.0983934290840247
