row_id,qT_low,qT_high,data_pb_per_GeV,mcfm_raw_fb_bin,mcfm_raw_fb_bin_unc,mcfm_pb_bin,mcfm_pb_per_GeV,mcfm_pb_per_GeV_unc,card,log,table,explicit_pt34_cut
LHCb_7:10,19.0,24.5,1.003090909,6065.6807,8.9852302,6.0656807,1.1028510363636364,0.0016336782181818183,reports/lhcb7_external_mcfm_bosonqt/cards/lhcbqt10.ini,reports/lhcb7_external_mcfm_bosonqt/logs/lhcbqt10.log,reports/lhcb7_external_mcfm_bosonqt/tables/Z_1jet_lo_NNPDF40_nnlo_as_01180_90___90___lhcbqt10_total_cross.txt,True
LHCb_7:11,24.5,34.0,0.575263158,5959.9258,9.4118966,5.9599258,0.6273606105263158,0.0009907259578947369,reports/lhcb7_external_mcfm_bosonqt/cards/lhcbqt11.ini,reports/lhcb7_external_mcfm_bosonqt/logs/lhcbqt11.log,reports/lhcb7_external_mcfm_bosonqt/tables/Z_1jet_lo_NNPDF40_nnlo_as_01180_90___90___lhcbqt11_total_cross.txt,True
LHCb_7:12,34.0,63.0,0.19962069,5950.2774,9.7202529,5.9502774,0.20518197931034482,0.00033518113448275863,reports/lhcb7_external_mcfm_bosonqt/cards/lhcbqt12.ini,reports/lhcb7_external_mcfm_bosonqt/logs/lhcbqt12.log,reports/lhcb7_external_mcfm_bosonqt/tables/Z_1jet_lo_NNPDF40_nnlo_as_01180_90___90___lhcbqt12_total_cross.txt,True
LHCb_7:13,63.0,270.0,0.007323671,1763.3187,3.5043048,1.7633187000000001,0.008518447826086956,1.6929008695652173e-05,reports/lhcb7_external_mcfm_bosonqt/cards/lhcbqt13.ini,reports/lhcb7_external_mcfm_bosonqt/logs/lhcbqt13.log,reports/lhcb7_external_mcfm_bosonqt/tables/Z_1jet_lo_NNPDF40_nnlo_as_01180_90___90___lhcbqt13_total_cross.txt,True
