quantity,metric,median_over_random_splits,q68_over_random_splits,q90_over_random_splits,q95_over_random_splits,max_over_random_splits
F_NP,center_split_p90_q95,0.015393373916626249,0.017422753598637066,0.0210893632767941,0.023105444901228928,0.030148524290574054
F_NP,center_split_p90_max,0.015393373916626249,0.017422753598637066,0.0210893632767941,0.023105444901228928,0.030148524290574054
F_NP,width_split_p90_q95,0.4653634883179836,0.5231544212502628,0.6439466887345098,0.6914673821296415,0.9611935480158635
F_NP,width_split_p90_max,0.4653634883179836,0.5231544212502628,0.6439466887345098,0.6914673821296415,0.9611935480158635
b_ftilde,center_split_p90_q95,0.014877086985962197,0.01746334115276071,0.0216642203647099,0.023777659519287002,0.03155496326137382
b_ftilde,center_split_p90_max,0.014878867555098632,0.017469291635177794,0.021668475378857625,0.02377765951928708,0.03155648488414955
b_ftilde,width_split_p90_q95,0.4661655963557316,0.5146208361684813,0.6281071970685348,0.7020052609768307,0.8564022020026778
b_ftilde,width_split_p90_max,0.4663139497220763,0.515076968606451,0.6281098484996736,0.7020393518515522,0.8564022020026786
b_x_ftilde,center_split_p90_q95,0.014581784657543898,0.01699889539272375,0.021393605710868166,0.023190828237130645,0.032570255663003804
b_x_ftilde,center_split_p90_max,0.014586288751677771,0.017001860315027956,0.021393605710868933,0.023190828237131568,0.032570255663004
b_x_ftilde,width_split_p90_q95,0.47702285066482125,0.5279205222058667,0.6362222200471649,0.6819582531501169,0.8793783460397488
b_x_ftilde,width_split_p90_max,0.47707768483948526,0.5279205222273269,0.6362239804184625,0.6819582531513835,0.8793783460398528
ftilde,center_split_p90_q95,0.01501883766756116,0.017521088574279985,0.02165827406176693,0.023840332438933486,0.031322475080756224
ftilde,center_split_p90_max,0.015089923270715573,0.017542116892651064,0.021661757022277784,0.023843660911391288,0.03134604575145209
ftilde,width_split_p90_q95,0.46597909100103063,0.5344239509826192,0.6201681644682263,0.6737220012047457,0.8453045016788024
ftilde,width_split_p90_max,0.4667287019971334,0.535956478917603,0.6206916047875201,0.674036905698838,0.8457482687999045
x_ftilde,center_split_p90_q95,0.015333343046892885,0.017610904926272132,0.021749180926595522,0.02379963233008918,0.029452745984159513
x_ftilde,center_split_p90_max,0.015409915278087168,0.017670669033021336,0.02178137849894211,0.023834893595376928,0.029528277870068502
x_ftilde,width_split_p90_q95,0.4718142517694935,0.5350505001824659,0.6273253580530747,0.6804775261569153,0.9378969587039299
x_ftilde,width_split_p90_max,0.4734710805520064,0.5351731820280844,0.6274867145719257,0.6805260785632722,0.9381642905309726
