seed,run,chi2_total,max_abs_norm_pull,max_norm_pull_dataset,best_epoch,epochs_run,best_objective,restored_best,chi2_E288_200,ratio_E288_200,chi2_E288_300,ratio_E288_300,chi2_E288_400,ratio_E288_400,chi2_E605,ratio_E605,chi2_E772,ratio_E772
1001,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1001,1.7355278200749948,2.0781683921813965,E605,300,300,1.756458711111918,True,1.4770827901529957,0.9931377098143699,1.5165643012026457,0.9407548255677929,1.634524334000864,1.0094838540635391,2.8391427371701776,1.0008127721270104,1.31947556129487,0.9629911378775243
1002,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1002,1.7669378925083874,1.5401266813278198,E288_300,300,300,1.7816348773194477,True,1.454236491590362,0.9869579009280157,1.1493278687647632,0.9507193734446089,2.1438595145530885,1.001833527665152,2.274340538981967,0.9751483202475488,1.6437396445560601,0.9969457120620699
1003,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1003,1.6985264095046788,1.3383201360702515,E288_400,300,300,1.7059043692424893,True,1.4454702031648958,0.9785937959464599,1.5119523660958865,0.9723545923669406,1.3934887134788083,0.9829184535064034,1.8200492693951498,0.9783728445316507,2.3490791531538506,0.9539125191521449
1004,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1004,1.9195032492193642,1.7329580783843994,E772,300,300,1.931043152231723,True,1.1787332568379902,0.9859163098331869,1.6746368158745262,1.0015249366454535,1.8205190759919443,0.9995036726308991,2.1339989785063342,0.9911175923196414,2.6357230398797977,0.9594707522667382
1005,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1005,1.8761416648316664,1.5855653285980225,E772,300,300,1.886725013377145,True,1.2560696422778648,0.9605616152562093,1.3710288190098752,0.9744093292945266,1.7742384834613012,1.0193552169182885,2.132941561740212,0.9896049805806412,2.7106876904960977,1.0517281703838046
1006,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1006,2.105372605717973,2.684877634048462,E605,300,300,2.1451379018835723,True,1.4616878155884683,0.9928393237833668,1.4590175866598554,0.9888701326088363,2.1014411080113544,1.0116285292652523,2.741911687808754,0.9797035245067176,2.636919677661281,0.9880058416401791
1007,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1007,1.670290921677739,1.5828735828399658,E605,300,300,1.6845479240873829,True,1.4857380764382084,0.9574574366028246,1.4195186393118366,0.9656085604541669,1.5771261534145609,0.9860256194963273,1.8273534867478731,0.994769070771403,2.024062803093273,0.9614802719055143
1008,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1008,1.8709577384634846,2.5833685398101807,E605,300,300,1.912959279899951,True,1.1013233476186448,1.000150199569708,1.6139051223528529,0.928589658578439,2.3094737936903385,1.0195275413143745,2.6855989947447463,0.9886715390618857,1.4110157051010987,0.9296290328432797
1009,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1009,1.9554371429567425,1.492858648300171,E288_300,300,300,1.9711443402338773,True,1.7358473084339636,0.9738741963728927,1.8720296318606855,0.9581905796312737,1.8957279809742489,1.007345362237883,2.062855270637316,0.9719645206262488,2.1798571906900968,0.9751188329607078
1010,replica_pilot_v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda/outputs/v23a_lambda3_normpriors15_p2p5_E772_E288400_cached_cuda_s1010,1.7515660963202677,1.5267399549484253,E288_200,300,300,1.7640777934575453,True,1.217142647872621,0.9704654747147817,1.8163530286751837,0.9792894917702275,1.7854105660521031,0.9783777018338621,1.7381618942909456,0.9727319793600464,2.052573360489561,1.0018950959827948
