dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error,row_correction_note,A_over_PreFactor,dA_over_PreFactor,ratio_CS_to_A_over_PreFactor,ratio_error_to_dA_over_PreFactor
E288_200,E288_200:0,0.1,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,3.953714286,0.201142857,6.29,0.32,1.590909091,0.00%,0.00%,,,0.0222222222222222,3.953714285488359,0.2011428571313632,1.2940766955257556e-10,6.530843574643775e-10,Data/E288_200.csv,0,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.050874404,,3.953714285488359,0.20114285713136326,1.0000000001294076,0.9999999993469156
E288_200,E288_200:1,0.3,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,11.088,0.452571429,5.88,0.24,0.53030303,0.00%,0.00%,,,0.0666666666666666,11.088000006336,0.4525714288300408,5.714285863411843e-10,3.7554119080218844e-10,Data/E288_200.csv,1,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.040816327,,11.088000006336,0.4525714288300408,0.9999999994285714,1.0000000003755412
E288_200,E288_200:2,0.5,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,14.92857143,0.722857143,4.75,0.23,0.318181818,0.00%,0.00%,,,0.1111111111111111,14.92857143710204,0.7228571432702041,4.75734726194734e-10,3.7380011230078407e-10,Data/E288_200.csv,2,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.048421053,,14.92857143710204,0.7228571432702041,0.9999999995242653,0.9999999996261999
E288_200,E288_200:3,0.7,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,16.236,0.968,3.69,0.22,0.227272727,0.00%,0.00%,,,0.1555555555555555,16.2360000194832,0.9680000011616,1.1999999403001668e-09,1.2000000382083652e-09,Data/E288_200.csv,3,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.059620596,,16.2360000194832,0.9680000011616,0.9999999988,0.9999999988
E288_200,E288_200:4,0.9,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,16.57542857,1.244571429,2.93,0.22,0.176767677,0.00%,0.00%,,,0.2,16.57542854964372,1.244571426935706,1.228099675051634e-09,1.6586384846338975e-09,Data/E288_200.csv,4,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.075085324,,16.57542854964372,1.244571426935706,1.0000000012280996,1.0000000016586386
E288_200,E288_200:5,1.1,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,11.616,1.106285714,1.68,0.16,0.144628099,0.00%,0.00%,,,0.2444444444444444,11.6160000139392,1.106285715613257,1.199999999977545e-09,1.4582644073848018e-09,Data/E288_200.csv,5,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.095238095,,11.6160000139392,1.106285715613257,0.9999999988,0.9999999985417356
E288_200,E288_200:6,1.3,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,10.296,1.144,1.26,0.14,0.122377622,0.00%,0.00%,,,0.2888888888888889,10.296000031770514,1.1440000035300573,3.08571435601933e-09,3.0857144638498484e-09,Data/E288_200.csv,6,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.111111111,,10.296000031770514,1.1440000035300573,0.9999999969142856,0.9999999969142855
E288_200,E288_200:7,1.5,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,6.392571429,1.169142857,0.678,0.124,0.106060606,0.00%,0.00%,,,0.3333333333333333,6.392571432224327,1.1691428578109389,5.043864769743266e-10,6.936182915471052e-10,Data/E288_200.csv,7,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.182890855,,6.392571432224327,1.1691428578109389,0.9999999994956136,0.9999999993063817
E288_200,E288_200:8,1.7,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,6.390057143,1.089942857,0.598,0.102,0.093582888,0.00%,0.00%,,,0.3777777777777777,6.39005712240896,1.08994285365504,3.2223561579184565e-09,3.0689316097725013e-09,Data/E288_200.csv,8,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.170568562,,6.39005712240896,1.08994285365504,1.0000000032223562,1.0000000030689316
E288_200,E288_200:9,1.9,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,0.704628571,0.800171429,0.059,0.067,0.083732057,0.00%,0.00%,,,0.4222222222222222,0.704628574931582,0.8001714325494238,5.579651748149144e-09,4.435829136767381e-09,Data/E288_200.csv,9,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,1.13559322,,0.704628574931582,0.8001714325494238,0.9999999944203483,0.9999999955641709
