pdf_set,row_id,data_pb_per_GeV,theory_pb_per_GeV,theory_unc_pb_per_GeV,theory_data_ratio
NNPDF40_nnlo_as_01180,LHCb_7:10,1.003090909,0.8272693821276851,0.0191403677030986,0.824720246894078
NNPDF40_nnlo_as_01180,LHCb_7:11,0.575263158,0.4711770335688618,0.0042586250126464,0.8190634616807179
NNPDF40_nnlo_as_01180,LHCb_7:12,0.19962069,0.1543864557409395,0.002930780886154,0.7733990687084566
NNPDF40_nnlo_as_01180,LHCb_7:13,0.007323671,0.0065046602082933,5.651268588766392e-05,0.8881693631913967
CT18NNLO,LHCb_7:10,1.003090909,0.78960566652563,0.0324173119142266,0.7871725876897864
CT18NNLO,LHCb_7:11,0.575263158,0.4658712363113494,0.0129014585735137,0.809840209359191
CT18NNLO,LHCb_7:12,0.19962069,0.1524554056978021,0.0028474494993906,0.7637254720329948
CT18NNLO,LHCb_7:13,0.007323671,0.0065294098173538,8.997097408303783e-05,0.8915487625473345
MSHT20nnlo_as118,LHCb_7:10,1.003090909,0.8175059872862036,0.0405086345198588,0.8149869368282787
MSHT20nnlo_as118,LHCb_7:11,0.575263158,0.44803482619349,0.010165659903269,0.778834555912044
MSHT20nnlo_as118,LHCb_7:12,0.19962069,0.1512973753406384,0.0040078700837814,0.757924318068625
MSHT20nnlo_as118,LHCb_7:13,0.007323671,0.0064586259443727,9.059373864824804e-05,0.8818836816089499
