dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error,row_correction_note,A_over_PreFactor,dA_over_PreFactor,ratio_CS_to_A_over_PreFactor,ratio_error_to_dA_over_PreFactor
E288_300,E288_300:15,0.1,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,1.615428571,0.100571429,2.57,0.16,1.590909091,15%,0.00%,,,0.0181818181818181,1.615428571336261,0.1005714285656816,2.0815591911392457e-10,4.318506530644298e-09,Data/E288_300.csv,15,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.062256809,,1.615428571336261,0.1005714285656816,0.999999999791844,1.0000000043185064
E288_300,E288_300:16,0.3,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,4.337142857,0.188571429,2.3,0.1,0.53030303,15%,0.00%,,,0.0545454545454545,4.337142859621224,0.1885714286791837,6.043665637684431e-10,1.701298651959488e-09,Data/E288_300.csv,16,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.043478261,,4.337142859621224,0.1885714286791837,0.9999999993956334,1.0000000017012989
E288_300,E288_300:17,0.5,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,6.505714286,0.314285714,2.07,0.1,0.318181818,15%,0.00%,,,0.0909090909090909,6.505714289431836,0.3142857144653061,5.275110458151868e-10,1.480519494033594e-09,Data/E288_300.csv,17,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.048309179,,6.505714289431836,0.3142857144653061,0.999999999472489,0.9999999985194804
E288_300,E288_300:18,0.7,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,8.008,0.484,1.82,0.11,0.227272727,15%,0.00%,,,0.1272727272727272,8.0080000096096,0.4840000005808,1.200000026865155e-09,1.200000038208365e-09,Data/E288_300.csv,18,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.06043956,,8.0080000096096,0.4840000005808,0.9999999988,0.9999999988
E288_300,E288_300:19,0.9,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,6.392571429,0.452571429,1.13,0.08,0.176767677,15%,0.00%,,,0.1636363636363636,6.392571420169762,0.4525714279766203,1.381327994893733e-09,2.2612555570610022e-09,Data/E288_300.csv,19,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.07079646,,6.392571420169762,0.4525714279766203,1.000000001381328,1.0000000022612556
E288_300,E288_300:20,1.1,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,6.029257143,0.504742857,0.872,0.073,0.144628099,15%,0.00%,,,0.2,6.029257150092251,0.5047428577485485,1.1763059783635594e-09,1.483029516874894e-09,Data/E288_300.csv,20,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.083715596,,6.029257150092251,0.5047428577485485,0.999999998823694,0.9999999985169704
E288_300,E288_300:21,1.3,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,5.188857143,0.498457143,0.635,0.061,0.122377622,15%,0.00%,,,0.2363636363636363,5.1888571588684735,0.4984571443952391,3.0581827867599692e-09,2.799115555125235e-09,Data/E288_300.csv,21,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.096062992,,5.1888571588684735,0.4984571443952391,0.9999999969418172,0.9999999972008844
E288_300,E288_300:22,1.5,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,3.620571429,0.396,0.384,0.042,0.106060606,15%,0.00%,,,0.2727272727272727,3.620571430640328,0.3960000002262857,4.530573619903264e-10,5.714285663155164e-10,Data/E288_300.csv,22,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.109375,,3.6205714306403274,0.3960000002262857,0.9999999995469426,0.9999999994285714
E288_300,E288_300:23,1.7,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,2.778285714,0.406057143,0.26,0.038,0.093582888,15%,0.00%,,,0.3090909090909091,2.7782857053952,0.4060571415577599,3.097161656304021e-09,3.551815488219269e-09,Data/E288_300.csv,23,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.146153846,,2.7782857053952,0.4060571415577599,1.0000000030971616,1.0000000035518155
E288_300,E288_300:24,1.9,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,1.480914286,0.298571429,0.124,0.025,0.083732057,15%,0.00%,,,0.3454545454545454,1.480914293076545,0.2985714300557551,4.778497569230238e-09,3.536022015813728e-09,Data/E288_300.csv,24,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.201612903,,1.480914293076545,0.2985714300557551,0.9999999952215024,0.999999996463978
E288_300,E288_300:25,2.1,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,1.3596,0.2904,0.103,0.022,0.075757576,15%,0.00%,,,0.3818181818181818,1.35959999564928,0.29039999907072,3.1999998414537884e-09,3.199999952805693e-09,Data/E288_300.csv,25,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.213592233,,1.35959999564928,0.29039999907072,1.0000000031999998,1.0000000032
E288_300,E288_300:26,2.3,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,1.142114286,0.332514286,0.079,0.023,0.06916996,15%,0.00%,,,0.4181818181818181,1.1421142935459263,0.3325142879943836,6.606980223363434e-09,5.997888602775325e-09,Data/E288_300.csv,26,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.291139241,,1.1421142935459263,0.3325142879943836,0.9999999933930198,0.9999999940021114
E288_300,E288_300:27,2.5,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,0.502857143,0.204285714,0.032,0.013,0.063636364,15%,0.00%,,,0.4545454545454545,0.5028571399836735,0.2042857131183673,5.9983763835390796e-09,4.315684334976247e-09,Data/E288_300.csv,27,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.40625,,0.5028571399836735,0.2042857131183673,1.0000000059983765,1.0000000043156845
E288_300,E288_300:28,2.7,5.5,0.21,0.098089455,0.286014128,0.187924673,23.72340616,300.0,0.2376,0.203657143,0.014,0.012,0.058922559,15%,0.00%,,,0.4909090909090909,0.2375999996877257,0.2036571425894792,1.314285731312643e-09,2.015744725383033e-09,Data/E288_300.csv,28,0.19272276,0.230651048,5.0,6.0,0.089172232,0.107006678,0.857142857,,0.2375999996877257,0.2036571425894792,1.0000000013142858,1.000000002015745
E288_300,E288_300:32,0.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.533657143,0.044,0.849,0.07,1.590909091,15%,0.00%,,,0.0153846153846153,0.5336571428266481,0.0439999999974857,3.248375678530154e-10,5.714273751148111e-11,Data/E288_300.csv,32,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.082449941,,0.5336571428266481,0.0439999999974857,1.0000000003248375,1.0000000000571427
E288_300,E288_300:33,0.3,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.476514286,0.081085714,0.783,0.043,0.53030303,15%,0.00%,,,0.0461538461538461,1.476514286558008,0.0810857143320489,3.7792257702066107e-10,4.095036645938532e-09,Data/E288_300.csv,33,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.054916986,,1.476514286558008,0.0810857143320489,0.9999999996220774,0.9999999959049634
E288_300,E288_300:34,0.5,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,2.058571429,0.11,0.655,0.035,0.318181818,15%,0.00%,,,0.0769230769230769,2.058571429747756,0.1100000000628571,3.63239856676293e-10,5.714286364053538e-10,Data/E288_300.csv,34,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.053435115,,2.0585714297477558,0.1100000000628571,0.99999999963676,0.9999999994285712
E288_300,E288_300:35,0.7,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,2.376,0.1452,0.54,0.033,0.227272727,15%,0.00%,,,0.1076923076923076,2.3760000028512,0.14520000017424,1.2000000679434475e-09,1.2000000764391855e-09,Data/E288_300.csv,35,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.061111111,,2.3760000028512,0.14520000017424,0.9999999988,0.9999999988
E288_300,E288_300:36,0.9,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,2.342057143,0.169714286,0.414,0.03,0.176767677,15%,0.00%,,,0.1384615384615384,2.34205713977901,0.1697142854912326,1.3752822841280867e-09,2.997787478971263e-09,Data/E288_300.csv,36,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.072463768,,2.34205713977901,0.1697142854912326,1.0000000013752823,1.0000000029977876
E288_300,E288_300:37,1.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.977485714,0.165942857,0.286,0.024,0.144628099,15%,0.00%,,,0.1692307692307692,1.9774857166586968,0.1659428573419885,1.3444834497974546e-09,2.060881569864197e-09,Data/E288_300.csv,37,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.083916084,,1.9774857166586968,0.1659428573419885,0.9999999986555166,0.9999999979391184
E288_300,E288_300:38,1.3,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.528057143,0.155257143,0.187,0.019,0.122377622,15%,0.00%,,,0.2,1.5280571475722906,0.155257143336222,2.992224834943473e-09,2.165581840399529e-09,Data/E288_300.csv,38,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.101604278,,1.5280571475722906,0.155257143336222,0.9999999970077752,0.9999999978344182
E288_300,E288_300:39,1.5,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.716,0.188571429,0.182,0.02,0.106060606,15%,0.00%,,,0.2307692307692307,1.7160000009805714,0.1885714286791836,5.714285555324646e-10,1.7012987991481462e-09,Data/E288_300.csv,39,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.10989011,,1.7160000009805714,0.1885714286791836,0.9999999994285714,1.0000000017012989
E288_300,E288_300:40,1.7,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,1.175428571,0.1496,0.11,0.014,0.093582888,15%,0.00%,,,0.2615384615384615,1.1754285676672,0.14959999952128,2.835391378238784e-09,3.200000054004923e-09,Data/E288_300.csv,40,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.127272727,,1.1754285676672,0.14959999952128,1.0000000028353917,1.0000000032
E288_300,E288_300:41,1.9,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.859885714,0.155257143,0.072,0.013,0.083732057,15%,0.00%,,,0.2923076923076922,0.8598857185605747,0.1552571436289926,5.303698616254504e-09,4.051296119504331e-09,Data/E288_300.csv,41,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.180555556,,0.8598857185605747,0.1552571436289926,0.9999999946963014,0.999999995948704
E288_300,E288_300:42,2.1,6.5,0.21,0.115923901,0.338016697,0.222092796,23.72340616,300.0,0.53856,0.13068,0.0408,0.0099,0.075757576,15%,0.00%,,,0.3230769230769231,0.538559998276608,0.130679999581824,3.1999999715462907e-09,3.199999740412246e-09,Data/E288_300.csv,42,0.195194535,0.227215687,6.0,7.0,0.107006678,0.124841124,0.242647059,,0.538559998276608,0.130679999581824,1.0000000032,1.0000000031999998
