dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,3102.612792940374,0.9042755444257962,3.1026127929403744,0.0009042755444257962,0.5641114168982498,0.00016441373535014476,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid.in,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid.log,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid.txt,True
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,2987.984554377994,0.8982687523056521,2.9879845543779937,0.000898268752305652,0.31452468993452565,9.455460550585812e-05,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid.in,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid.log,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid.txt,True
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,3014.138887214193,1.000915296381479,3.0141388872141928,0.0010009152963814788,0.10393582369704113,3.4514320564878585e-05,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid.in,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid.log,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid.txt,True
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,884.1268042904956,0.3587661899972838,0.8841268042904955,0.0003587661899972838,0.004271143982079689,1.7331699999868784e-06,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid.in,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid.log,/home/dustin/work/project/bT-TMD/systematics/finite_y_completion_2026/reports/lhcb7_external_true_nlo/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid.txt,True
