dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4598.311010185374,116.7921437480393,4.598311010185373,0.1167921437480393,0.8360565473064315,0.021234935226916236,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.txt,True
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4870.949589914867,156.6443305610521,4.870949589914867,0.1566443305610521,0.5127315357805123,0.01648887690116338,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.txt,True
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4922.486545388719,70.56385005227149,4.922486545388718,0.07056385005227149,0.1697409153582317,0.002433236208699017,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.txt,True
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1461.938350443413,13.67515423407974,1.461938350443413,0.01367515423407974,0.007062504108422285,6.606354702453981e-05,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.txt,True
