flavor,kT,q16,central,q84
u,0.0,3.5548922215123997,3.682785992477286,3.888144694979492
u,0.01,3.553884127334007,3.681718761748312,3.8869835976047935
u,0.02,3.5508617523111896,3.678511075569787,3.883488736767617
u,0.03,3.54583081300151,3.673171250875676,3.877721678784026
u,0.04,3.538800817095374,3.6657134862952985,3.869592410396255
u,0.05,3.529785033648673,3.656169496436851,3.859078949963704
u,0.06,3.518800451589939,3.644541624085705,3.846270470039869
u,0.07,3.5058677266822635,3.630851890311014,3.831214090679689
u,0.08,3.4910111171698968,3.615126156168088,3.8141203273852153
u,0.09,3.4742584083880867,3.5973940420277124,3.7947558198896103
u,0.1,3.4556570760454086,3.5776888354469243,3.773377928852532
u,0.11,3.435255157024857,3.556047387979007,3.7499005562520056
u,0.12,3.413070131529496,3.5324684059617164,3.724367747222834
u,0.13,3.3891447507150607,3.5069911204735336,3.696827180152414
u,0.14,3.3634898067806764,3.4797022773209,3.6671708749686833
u,0.15,3.3360941188802693,3.4506525187470483,3.6356759101359857
u,0.16,3.307163922427637,3.419896806720917,3.6018201770323977
u,0.17,3.2766899700750027,3.3876096874841206,3.566170050838539
u,0.18,3.2447186225098426,3.353696125109724,3.529194964777671
u,0.19,3.211101379470878,3.3181815062675,3.490524662243744
u,0.2,3.17609152399411,3.281297102848914,3.4500754761599803
u,0.21,3.1397503463439222,3.2430113683270987,3.4083297561944224
u,0.22,3.10214137992774,3.2035239572686742,3.3655171736558915
u,0.23,3.0634276316759275,3.162655214219547,3.3210063235586835
u,0.24,3.0235767485098086,3.120501757547996,3.274731877476238
u,0.25,2.9825295355247703,3.077332258498923,3.227500279500651
u,0.26,2.9406317584665995,3.0331103382399025,3.179641017494925
u,0.27,2.8976435090774744,2.9879089012982942,3.130841493457865
u,0.28,2.8537438332833056,2.941801530952711,3.0810306364957354
u,0.29,2.8089997242740017,2.894862293021869,3.0300041808249105
u,0.3,2.76353888926737,2.847150863216811,2.9780898423369546
u,0.31,2.7174268922227798,2.7985559044891035,2.9254282062919894
u,0.32,2.6709157279380604,2.749419711873192,2.8722091556435574
u,0.33,2.6240717833711797,2.699968938552309,2.818848950324446
u,0.34,2.576539111160449,2.649882958217014,2.765028130806777
u,0.35,2.528900877747446,2.599481373961769,2.7107604861165804
u,0.36,2.481192002175747,2.548778463123361,2.655900313871593
u,0.37,2.432755333447204,2.4976286777482315,2.6010497304669604
u,0.38,2.384248429155112,2.4470514195187336,2.545885521317825
u,0.39,2.33596995534932,2.3960848328126,2.490736813329247
u,0.4,2.287069997635894,2.344947844431436,2.43490532443906
u,0.41,2.2381858571912185,2.294120858034698,2.379296541680034
u,0.42,2.1896614116034328,2.243104331470186,2.3233109338944296
u,0.43,2.14117398077126,2.191966440931088,2.2673090996890037
u,0.44,2.09291695850106,2.141131026142875,2.211803343413928
u,0.45,2.044722274986073,2.090487262793405,2.156724495464422
u,0.46,1.996820381613739,2.0403310268928223,2.101716473912444
u,0.47,1.9495051361217055,1.9908536217361823,2.047284356967917
u,0.48,1.902558412463513,1.9418215103681036,1.99312166546152
u,0.49,1.85636930273548,1.8929312197762949,1.939966750725032
u,0.5,1.8103146514841528,1.844589306594864,1.887632503754036
u,0.51,1.7651846489612153,1.7968067325149044,1.8357823176658277
u,0.52,1.720502559662408,1.7497406174407997,1.784764356253819
u,0.53,1.6762702723149474,1.7033794369477884,1.734521437228194
