flavor,bT,full_tmd,perturbative_ope_evolution,ope_boundary_nlo,evolution_half,fnp_lambda1_median,mu_b
u,0.0,6.26664031444024,6.26664031444024,6.26664031444024,1.0,1.0,7.5
u,0.025,6.266638441944672,6.266640314440242,6.266640314440242,1.0,0.999999701196259,7.5
u,0.05,6.266632142591907,6.266640314565459,6.266640314565459,1.0,0.9999986959561835,7.5
u,0.07500000000000001,6.266620486984547,6.266640395781374,6.266640395781374,1.0,0.999996823051018,7.5
u,0.1,6.266610681125745,6.266648294817017,6.266648294817017,1.0,0.9999939977976261,7.4999999999999964
u,0.125,6.2668438125645745,6.2669062178120285,6.266906198841968,1.0000000030270215,0.9999900420964851,7.499999603668515
u,0.15000000000000002,6.273196658556181,6.273292599545103,6.269848757477843,1.0005492703573038,0.9999847064380627,7.427981736006327
u,0.17500000000000002,6.330883866627382,6.331024879896663,6.282665908034841,1.0076972057037088,0.9999777266284755,6.460180588967651
u,0.2,6.376192354978149,6.37639159553365,6.294801380841514,1.0129615232881626,0.9999687534003338,5.6642824569234556
u,0.225,6.408402605158222,6.408674538964768,6.305936358499353,1.0162922958026592,0.9999575678551168,5.046584596073497
u,0.25,6.428128624636599,6.428491031477073,6.313894205037983,1.0181499440309991,0.999943624897554,4.553632945225912
u,0.275,6.4386470681012185,6.439119447224025,6.319933256784255,1.0188587735973045,0.9999266391737756,4.151397393651719
u,0.30000000000000004,6.442025953089915,6.442631511323677,6.324658064956198,1.018652936673549,0.9999060076255024,3.817190483825507
u,0.325,6.439484110773216,6.440255112360797,6.32819107820144,1.0177086994963507,0.999880283998983,3.5353048985900597
u,0.35000000000000003,6.432063449801038,6.433031015380058,6.330710216003379,1.016162609862954,0.9998495941373969,3.2945205861790736
u,0.375,6.420580124388,6.4217867231754715,6.332357728547969,1.0141225430496974,0.9998121085549109,3.0866090480432575
u,0.4,6.40570719537853,6.4071936096824045,6.333250501520983,1.0116753803033156,0.9997680085237898,2.905398555056788
u,0.42500000000000004,6.38795111997862,6.389778780289715,6.333464639619939,1.0088915220774257,0.9997139712697515,2.746169373718618
u,0.45,6.36778064075436,6.370020853918949,6.333102549576082,1.0058294183702012,0.9996483193358446,2.605250755573852
u,0.47500000000000003,6.345541834735824,6.348274207488149,6.3322061561391,1.002537512353964,0.9995695881017392,2.479745485815509
u,0.5,6.321575573609942,6.324890630079359,6.330858737231241,0.999057298954282,0.9994758713370233,2.367337501038177
u,0.525,6.2961065033420605,6.30011929991446,6.329085347031188,0.9954233438911808,0.9993630602245177,2.2661550409902693
u,0.55,6.26938765704012,6.274228154985785,6.326957025489078,0.9916659983162733,0.9992285110094669,2.17467178355746
u,0.5750000000000001,6.241585898625481,6.247403415973814,6.324485848822628,0.9878120633532346,0.999068810358323,2.0916344533055327
u,0.6000000000000001,6.212910800172709,6.219860553699922,6.321732239428909,0.9838854791897689,0.998882651231935,2.016009137993154
u,0.625,6.183476504383981,6.191755678379633,6.318708999922565,0.9799083449570968,0.9986628713363868,1.9469409202324854
u,0.65,6.1534134789846355,6.163258081399366,6.315448367245393,0.9759019032385173,0.9984026950868014,1.8837229682867314
u,0.675,6.1228653343608235,6.134539199780468,6.311984761783387,0.971887517365808,0.9980970265182979,1.8257722492692796
u,0.7000000000000001,6.091921408447034,6.105723546698433,6.3083022037673775,0.9678869764755464,0.9977394754043748,1.7726097270378052
u,0.7250000000000001,6.060585085418498,6.076869525174962,6.30431148977957,0.9639227907800347,0.9973202584506707,1.7238434167105163
u,0.75,6.029268591205006,6.0484039763614055,6.3002943961853735,0.9600192619607618,0.9968362918166205,1.67915308233317
u,0.775,5.997109581017915,6.019524818669784,6.295232844885721,0.9562036809424892,0.9962762446659664,1.6382757538140336
u,0.8,5.946793662578174,5.97291406323102,6.2707513419739715,0.9525037332050874,0.9956268581171054,1.6009916474753645
u,0.8250000000000001,5.8781923252496,5.908435913407671,6.226309478220107,0.9489467129887503,0.9948812869257935,1.5671105075286045
u,0.8500000000000001,5.797486318397359,5.832362276722624,6.1681704266903425,0.94555790019766,0.9940202688601054,1.5364588013453657
u,0.875,5.709800224195283,5.749871258991761,6.10155654988425,0.942361381392235,0.9930309683484105,1.5088685132962256
u,0.9,5.619226214967072,5.665073450603688,6.030685517913387,0.9393747085263036,0.991907035974665,1.484168389642396
u,0.925,5.528784496938633,5.581119138626668,5.958835494505692,0.9366123873989649,0.9906229126474243,1.4621783274872877
u,0.9500000000000001,5.440665679845191,5.5002757510309,5.888435336948239,0.9340810310878767,0.9891623486014248,1.4427071969475582
u,0.9750000000000001,5.356294900400477,5.424065870848716,5.821174631458201,0.9317820224008622,0.9875055037932946,1.4255538564458288
u,1.0,5.276495617833955,5.353391861982243,5.758126032236876,0.9297107829893392,0.9856359769412032,1.4105106377396268
u,1.0250000000000001,5.201619936563184,5.288670644866606,5.699870692246234,0.9278580042282362,0.9835401532542177,1.397368287596306
u,1.05,5.131805476855665,5.229956959448479,5.646617798872,0.9262105468681173,0.9812328316745527,1.3859213187023744
u,1.075,5.066596086789382,5.177049670820646,5.598311138484378,0.924752044457147,0.9786647625473224,1.3759729070077453
u,1.1,5.005118499874305,5.129593700288915,5.5547183240929305,0.9234660339192919,0.9757339064870578,1.3673387775221926
u,1.125,4.947085388015255,5.087140748641402,5.5155013406875435,0.9223351485954414,0.9724687466798415,1.359849838529465
u,1.1500000000000001,4.891915929378247,5.049204382388917,5.480269236798499,0.9213423947285106,0.9688488638805601,1.3533535797813059
u,1.175,4.8389946081043425,5.015295874226995,5.448615291430744,0.9204716438899169,0.9648472850767104,1.3477144123061882
d,0.0,3.893475069973773,3.893475069973773,3.893475069973773,1.0,1.0,7.5
d,0.025,3.89347390658886,3.8934750699737766,3.8934750699737766,1.0,0.999999701196259,7.5
d,0.05,3.8934699929226366,3.8934750701847265,3.8934750701847265,1.0,0.9999986959561835,7.5
d,0.07500000000000001,3.8934628376346883,3.8934752070067837,3.8934752070067837,1.0,0.999996823051018,7.5
d,0.1,3.893465149641811,3.8934885191478434,3.8934885191478434,1.0,0.9999939977976261,7.4999999999999964
d,0.125,3.8938899060497056,3.893928681415809,3.893928669628803,1.0000000030270215,0.9999900420964851,7.499999603668515
d,0.15000000000000002,3.9013956661350147,3.9014553332838,3.8993135559336927,1.0005492703573038,0.9999847064380627,7.427981736006327
