dataset,QM,qT,combined_q16,combined_median,combined_q84,pdf_q16,pdf_q50,pdf_q84
E288_200,8.5,0.1,0.0118815202458068,0.0121470220315492,0.0123643379007643,0.009926452779542334,0.011626270499499172,0.013627196725651429
E288_200,8.5,0.1161616161616161,0.0137292747983499,0.0140360955393102,0.0142868452231029,0.011470230273623079,0.01343401777315391,0.015746041009141766
E288_200,8.5,0.1323232323232323,0.0155449725989264,0.0158921661498765,0.0161747209063722,0.012987056636645455,0.015210028530576304,0.017827677504332465
E288_200,8.5,0.1484848484848485,0.0173250113513818,0.0177106693489306,0.0180247116691833,0.014473202924375818,0.016949909994043416,0.019866956918170676
E288_200,8.5,0.1646464646464646,0.0190658580301347,0.0194885700835174,0.0198319182882649,0.0159262993254781,0.01865074687560779,0.021860456664920164
E288_200,8.5,0.1808080808080808,0.0207637722687843,0.0212228487638584,0.0215942125282236,0.017343823307631352,0.02030962700935411,0.02380476575706627
E288_200,8.5,0.1969696969696969,0.0224158476196588,0.0229067137503893,0.0233056014672737,0.01872021545331321,0.02192003547546778,0.025692247177488768
E288_200,8.5,0.2131313131313131,0.0240181182243808,0.0245392084104738,0.0249647559256597,0.020054696932486106,0.023481040031094993,0.02752180783945218
E288_200,8.5,0.2292929292929293,0.0255651535570996,0.0261188822375844,0.026567337394625,0.021346093095066788,0.024991240342639692,0.029291806581139914
E288_200,8.5,0.2454545454545454,0.0270566055350164,0.0276424931155766,0.0281118907951091,0.022591751955502958,0.02644751779725011,0.030998581274833348
E288_200,8.5,0.2616161616161616,0.0284887976132218,0.0291066532912778,0.0295912035437874,0.023788914363566664,0.02784662068599967,0.032638327580045055
E288_200,8.5,0.2777777777777778,0.0298600584836753,0.0305043744518143,0.0310036783663238,0.02493186401757381,0.02918184767378336,0.03420318230660854
E288_200,8.5,0.2939393939393939,0.0311615882453174,0.0318346559454354,0.0323509012560707,0.026019788337247343,0.030452233581432724,0.03569201827831727
E288_200,8.5,0.3101010101010101,0.0323994245482995,0.0330943847695807,0.033625837467213,0.027050148684908945,0.03165360721802395,0.03710133185995935
E288_200,8.5,0.3262626262626262,0.033568324876482,0.0342822324233563,0.034832646609406,0.02802186934056868,0.03278443305109628,0.03842963411692625
E288_200,8.5,0.3424242424242424,0.0346678161292019,0.0354072250832116,0.0359656648667234,0.028942313211564697,0.03385443025828141,0.039687020181796574
E288_200,8.5,0.3585858585858585,0.0357025458941032,0.0364610414589649,0.0370274116340017,0.029804686735738235,0.03485563993710173,0.04086416078457422
E288_200,8.5,0.3747474747474747,0.0366707973842111,0.0374365545466231,0.038011572995602,0.03059957443915714,0.03578124297322523,0.04195306793229341
E288_200,8.5,0.3909090909090909,0.0375611520799499,0.0383381379679453,0.0389204799068801,0.03133224321294341,0.03663540825810798,0.042958632744328346
E288_200,8.5,0.407070707070707,0.0383743482867176,0.0391696893874169,0.0397591174753266,0.032007226583136816,0.037421863610529314,0.04388522843758825
E288_200,8.5,0.4232323232323232,0.0391257064509374,0.0399307825986072,0.0405195555938661,0.032624185486243226,0.0381402011459505,0.04473237272126555
E288_200,8.5,0.4393939393939394,0.0398003773505538,0.0406152143755851,0.041201126819143,0.033178051448100425,0.03878449234568503,0.04549312268181734
E288_200,8.5,0.4555555555555556,0.0404027826463004,0.0412282715354444,0.0418057210840621,0.03367313554353033,0.039359788936215175,0.04617338371556308
E288_200,8.5,0.4717171717171717,0.0409339369341286,0.0417685251431173,0.042343813385817,0.03410828781946536,0.03986474476201205,0.04677158792119264
E288_200,8.5,0.4878787878787879,0.0414048709283382,0.0422422165548037,0.0428072778425902,0.03448860401332179,0.04030531763452222,0.047294724841019355
E288_200,8.5,0.5040404040404041,0.0418041707314539,0.0426419699249914,0.0431978255432205,0.03480806968633717,0.04067448060811412,0.047734525728847066
E288_200,8.5,0.5202020202020202,0.0421319551173848,0.0429639221377893,0.0435223393567908,0.03506354097191301,0.040968568533064575,0.04808668896616414
E288_200,8.5,0.5363636363636364,0.042401618958658,0.0432355790726678,0.0437827170337919,0.035277471308647466,0.04121653238618446,0.04838201140009791
E288_200,8.5,0.5525252525252525,0.0426135845718554,0.0434352002773186,0.0439767617934299,0.03543213330061787,0.04142355553250188,0.04859617244464566
E288_200,8.5,0.5686868686868687,0.0427575935739588,0.0435726550896172,0.0441101148548427,0.03553559790449587,0.0415722873971221,0.048740236634716036
E288_200,8.5,0.5848484848484848,0.0428315093616456,0.0436426739149765,0.0441812862123225,0.035583575162829756,0.041657662192309125,0.04880831303773106
E288_200,8.5,0.601010101010101,0.0428550131413201,0.0436535630907529,0.0441900711503733,0.035582844755876086,0.0416875698813595,0.04880971634712957
E288_200,8.5,0.6171717171717171,0.0428279173958626,0.0436053261371349,0.0441334632391343,0.03553345493226396,0.04166198822539529,0.04874447005081111
E288_200,8.5,0.6333333333333333,0.0427501913573176,0.043508873483959,0.0440189750129281,0.035444279368413475,0.041591302166607814,0.04862478576049753
E288_200,8.5,0.6494949494949495,0.0426189297163393,0.043352375961304,0.0438526055695029,0.03530571107139022,0.041464163789723764,0.04843745557614088
E288_200,8.5,0.6656565656565656,0.0424409270462743,0.0431454233942111,0.0436387285867145,0.03512558444551671,0.04128971034596809,0.04819323034733096
E288_200,8.5,0.6818181818181818,0.0422370647788112,0.0429158705920119,0.0434067834171231,0.03492659226995693,0.04109455948394471,0.047923242503941296
E288_200,8.5,0.6979797979797979,0.0419806830313535,0.0426351628063893,0.0431157996537512,0.03468549404481623,0.04085135644351389,0.0475955960017385
E288_200,8.5,0.7141414141414141,0.0416971509629225,0.0423143509381969,0.0427889875627644,0.03441130789134666,0.04057064003414012,0.04722266711955447
E288_200,8.5,0.7303030303030302,0.0413791173932964,0.0419636374202166,0.0424366703247215,0.034112347701633565,0.04026215263538131,0.04681585931050418
E288_200,8.5,0.7464646464646464,0.041032726358477,0.0415862984659107,0.0420589184045716,0.033791282739328875,0.03992900984992793,0.04637882628341834
E288_200,8.5,0.7626262626262627,0.0406216187572189,0.0411588232011679,0.041623443249311,0.03342903894888122,0.039548611586329746,0.045885396409761685
E288_200,8.5,0.7787878787878788,0.0401900089527979,0.0407032014078648,0.0411635380897354,0.03304350432249879,0.039142006106523936,0.045365565583078284
E288_200,8.5,0.794949494949495,0.0397258355588249,0.0402239190373342,0.0406865227384492,0.03263833285940512,0.03871346816033724,0.04484986063674241
E288_200,8.5,0.8111111111111111,0.0392326277445192,0.0397122649353054,0.0401678055554856,0.032206480082648925,0.038254572726540495,0.04429853086801632
E288_200,8.5,0.8272727272727273,0.0386970804027684,0.0391674109960114,0.0396179007603028,0.0317473118696364,0.03776445458739953,0.04371063522058682
E288_200,8.5,0.8434343434343434,0.0381477576248502,0.038615868938417,0.039074616851561,0.031282333218562206,0.03726861914381199,0.04311571207426085
E288_200,8.5,0.8595959595959596,0.0376570952966802,0.0381239523855875,0.0385793464486518,0.03086524524420834,0.0368311296876555,0.04258784758554117
