dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4660.158792946274,78.01584640532992,4.660158792946274,0.07801584640532992,0.8473015987175043,0.014184699346423623,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4727.581774529426,196.8074307269121,4.727581774529426,0.1968074307269121,0.49764018679257116,0.02071657165546443,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4607.031234379972,63.41826983271409,4.607031234379972,0.06341826983271409,0.1588631460131025,0.0021868368907832446,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1366.375674477371,17.37400301037062,1.366375674477371,0.017374003010370617,0.006600848668972806,8.393238169261168e-05,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True
