endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction,all_positive
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,early_0p18_0p28,True,11.408000339977283,2.852000084994321,18.174802457905813,4.543700614476453,0.6919130316143929,2.5076001424889713,3.0174281373745915,0.007961660299598617,0.9798595911239696,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,central_0p20_0p30,True,17.15487712834377,4.2887192820859426,28.512818068409214,7.128204517102303,2.5179255579664077,2.2400874591419413,3.2905401571839055,0.007806226425809201,0.9412990123435421,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,late_0p22_0p32,True,19.554202163991825,4.888550540997956,35.02828478460871,8.757071196152177,3.3953759422387804,1.986329487140287,3.2454271716874987,0.007658784502309833,0.9290138084444652,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,early_0p18_0p28,True,11.443649041166635,2.860912260291659,18.119325172636067,4.529831293159017,0.6200854825938223,2.5082205097929124,3.0213688053610004,0.007962020753884438,0.9795593868372163,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,central_0p20_0p30,True,18.50268143750035,4.625670359375087,29.42413024551193,7.356032561377982,2.4501027180224337,2.2177568575366102,3.347378869162074,0.007793251594604423,0.9351805944764053,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,late_0p22_0p32,True,21.808104307503132,5.452026076875783,37.028430815121155,9.257107703780289,3.392974236250347,1.925630374646026,3.316425383793821,0.007623516274753222,0.9194917016175901,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,early_0p18_0p28,True,11.409103901300478,2.8522759753251195,18.17350364636918,4.543375911592295,0.690104514634975,2.5076194894658816,3.017550993677464,0.007961671540843441,0.9798502315250851,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,central_0p20_0p30,True,17.187261521121435,4.296815380280359,28.536082585533467,7.134020646383367,2.5166156675555746,2.239523754333908,3.2919586320309864,0.007805898894340823,0.9411453898195092,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,late_0p22_0p32,True,19.60646829109601,4.901617072774003,35.077580176144764,8.769395044036191,3.395822640332245,1.9848174929841025,3.2470806034088193,0.007657905982809739,0.9287808251063121,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,early_0p18_0p28,True,11.361971901368205,2.8404929753420514,18.217282730017473,4.554320682504368,0.7558677364495052,2.506785749449675,3.0122537406017913,0.00796118710982944,0.9802538882125575,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,central_0p20_0p30,True,16.063473118952572,4.015868279738143,27.682180738055322,6.920545184513831,2.5518206023475396,2.2598493827105806,3.240467481367122,0.007817708768610192,0.9467021222869357,True
