dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4679.145993561433,165.972449626185,4.679145993561433,0.16597244962618501,0.8507538170111696,0.03017680902294273,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.txt,True
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4744.388878082605,137.5422959374409,4.744388878082605,0.1375422959374409,0.4994093555876426,0.014478136414467465,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.txt,True
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4854.487043985858,88.80881944982642,4.854487043985857,0.08880881944982641,0.16739610496502957,0.003062373084476773,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.txt,True
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1466.738630212375,24.07688439945894,1.466738630212375,0.02407688439945894,0.007085693865760266,0.00011631345120511565,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf0p5/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf0p5.txt,True
