dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,63.60062461529697,382.9134764106891,0.06360062461529697,0.3829134764106891,0.011563749930053996,0.06962063207467074,reports/lhcb7_external_true_nnlo_probe/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf1.in,reports/lhcb7_external_true_nnlo_probe/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf1.log,reports/lhcb7_external_true_nnlo_probe/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf1.txt,True
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,2565.723889985797,423.8571965895139,2.5657238899857973,0.4238571965895139,0.27007619894587337,0.04461654700942251,reports/lhcb7_external_true_nnlo_probe/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf1.in,reports/lhcb7_external_true_nnlo_probe/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf1.log,reports/lhcb7_external_true_nnlo_probe/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf1.txt,True
