endpoint,row_id,profile,qT,W_lambda1_fiducial,FO_DYTurbo,FO_DYTurbo_unc,profile_value,matched_lambda1,CS,error
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,LHCb_7:10,early_0p18_0p28,21.75,0.7782902121543884,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6357447123620343,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,LHCb_7:10,early_0p18_0p28,21.75,0.7824416160583496,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6371331726065992,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,LHCb_7:10,early_0p18_0p28,21.75,0.7783990502357483,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6357811138668166,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,LHCb_7:10,early_0p18_0p28,21.75,0.7742655277252197,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.634398634154253,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,LHCb_7:10,early_0p18_0p28,21.75,0.7843670845031738,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6377771562925161,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,LHCb_7:10,early_0p18_0p28,21.75,0.7760269045829773,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6349877364915032,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,LHCb_7:10,early_0p18_0p28,21.75,0.7764087319374084,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.635115440784841,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,LHCb_7:10,early_0p18_0p28,21.75,0.7809591293334961,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6366373466334652,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,LHCb_7:10,early_0p18_0p28,21.75,0.77447509765625,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.63446872598931,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,LHCb_7:10,early_0p18_0p28,21.75,0.7781038284301758,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6356823752834724,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,LHCb_7:10,early_0p18_0p28,21.75,0.7816910147666931,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6368821298082847,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s314,LHCb_7:10,early_0p18_0p28,21.75,0.7786951661109924,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6358801514767607,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s315,LHCb_7:10,early_0p18_0p28,21.75,0.7802796363830566,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6364100864174098,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s316,LHCb_7:10,early_0p18_0p28,21.75,0.778334379196167,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6357594842760779,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s317,LHCb_7:10,early_0p18_0p28,21.75,0.7799738049507141,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6363077993850781,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s318,LHCb_7:10,early_0p18_0p28,21.75,0.7792174816131592,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6360548428165231,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s319,LHCb_7:10,early_0p18_0p28,21.75,0.7826938033103943,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6372175180429265,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,LHCb_7:10,early_0p18_0p28,21.75,0.7779152393341064,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6356193006059637,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,LHCb_7:10,early_0p18_0p28,21.75,0.7780917882919312,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6356783483919248,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,LHCb_7:10,early_0p18_0p28,21.75,0.7781652212142944,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6357029084433441,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,LHCb_7:10,early_0p18_0p28,21.75,0.7785296440124512,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6358247916855337,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,LHCb_7:10,early_0p18_0p28,21.75,0.7793025970458984,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6360833101488501,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,LHCb_7:10,early_0p18_0p28,21.75,0.7740185856819153,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6343160430073129,1.003090909,0.028490973
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,LHCb_7:10,early_0p18_0p28,21.75,0.783790647983551,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6375843638758958,1.003090909,0.028490973
lambda1_start_expansion48_s327_cont320000,LHCb_7:10,early_0p18_0p28,21.75,0.78255295753479,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6371704113858616,1.003090909,0.028490973
lambda1_start_expansion48_s328_cont240000,LHCb_7:10,early_0p18_0p28,21.75,0.7837511301040649,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6375711469001726,1.003090909,0.028490973
lambda1_start_expansion48_s329_cont200000,LHCb_7:10,early_0p18_0p28,21.75,0.781377911567688,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6367774106929391,1.003090909,0.028490973
lambda1_start_expansion48_s330_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7799620032310486,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6363038522339572,1.003090909,0.028490973
lambda1_start_expansion48_s331_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7836982011795044,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6375534445254483,1.003090909,0.028490973
lambda1_start_expansion48_s332_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7805873155593872,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6365129914380481,1.003090909,0.028490973
lambda1_start_expansion48_s333_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7759089469909668,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6349482849154002,1.003090909,0.028490973
lambda1_start_expansion48_s334_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7831994295120239,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.637386627552821,1.003090909,0.028490973
lambda1_start_expansion48_s335_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7755053639411926,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6348133043081274,1.003090909,0.028490973
lambda1_start_expansion48_s336_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7834780216217041,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6374798042414036,1.003090909,0.028490973
lambda1_start_expansion48_s337_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7885406017303467,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6391730124616561,1.003090909,0.028490973
lambda1_start_expansion48_s338_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7841213941574097,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6376949837828161,1.003090909,0.028490973
lambda1_start_expansion48_s339_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7834593057632446,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6374735446179088,1.003090909,0.028490973
lambda1_start_expansion48_s340_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7830824255943298,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6373474949384248,1.003090909,0.028490973
lambda1_start_expansion48_s341_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7826427221298218,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6372004336565089,1.003090909,0.028490973
lambda1_start_expansion48_s342_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7796461582183838,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6361982161037048,1.003090909,0.028490973
lambda1_start_expansion48_s343_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7831855416297913,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6373819826729665,1.003090909,0.028490973
lambda1_start_expansion48_s344_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7823072075843811,0.5641114168982498,0.0001644137353501,0.6655444093888124,0.6370882189410549,1.003090909,0.028490973
