endpoint,row_id,W_lambda1_fiducial
lambda1_start_expansion48_s348_cont120000,LHCb_7:10,0.7851479649543762
lambda1_start_expansion48_s349_cont160000,LHCb_7:10,0.7819802165031433
lambda1_start_expansion48_s350_cont120000,LHCb_7:10,0.7843539714813232
lambda1_start_expansion96_s351_cont120000,LHCb_7:10,0.7815279364585876
lambda1_start_expansion96_s352_cont120000,LHCb_7:10,0.7836578488349915
lambda1_start_expansion96_s353_cont120000,LHCb_7:10,0.7819514870643616
lambda1_start_expansion96_s354_cont120000,LHCb_7:10,0.7799091339111328
lambda1_start_expansion96_s355_cont120000,LHCb_7:10,0.783725380897522
lambda1_start_expansion96_s356_cont120000,LHCb_7:10,0.7784995436668396
lambda1_start_expansion96_s357_cont120000,LHCb_7:10,0.7759111523628235
lambda1_start_expansion96_s358_cont120000,LHCb_7:10,0.7831074595451355
lambda1_start_expansion96_s359_cont120000,LHCb_7:10,0.7755353450775146
lambda1_start_expansion96_s360_cont120000,LHCb_7:10,0.7834663987159729
lambda1_start_expansion96_s361_cont120000,LHCb_7:10,0.7882145643234253
lambda1_start_expansion96_s362_cont120000,LHCb_7:10,0.7847518920898438
lambda1_start_expansion96_s363_cont120000,LHCb_7:10,0.7831404209136963
lambda1_start_expansion96_s364_cont120000,LHCb_7:10,0.7817344665527344
lambda1_start_expansion96_s365_cont120000,LHCb_7:10,0.7812037467956543
lambda1_start_expansion96_s366_cont120000,LHCb_7:10,0.7802730798721313
lambda1_start_expansion96_s367_cont120000,LHCb_7:10,0.7837282419204712
lambda1_start_expansion96_s368_cont120000,LHCb_7:10,0.7824056148529053
lambda1_start_expansion96_s369_cont120000,LHCb_7:10,0.7811670899391174
lambda1_start_expansion96_s370_cont120000,LHCb_7:10,0.7844277620315552
lambda1_start_expansion96_s371_cont120000,LHCb_7:10,0.7815902233123779
lambda1_start_expansion96_s372_cont120000,LHCb_7:10,0.7855234742164612
lambda1_start_expansion96_s373_cont120000,LHCb_7:10,0.7815151214599609
lambda1_start_expansion96_s374_cont120000,LHCb_7:10,0.782896876335144
lambda1_start_expansion96_s375_cont120000,LHCb_7:10,0.7803810834884644
lambda1_start_expansion96_s376_cont120000,LHCb_7:10,0.7836044430732727
lambda1_start_expansion96_s377_cont120000,LHCb_7:10,0.7812908291816711
lambda1_start_expansion96_s378_cont120000,LHCb_7:10,0.7811253666877747
lambda1_start_expansion96_s379_cont120000,LHCb_7:10,0.7836177945137024
lambda1_start_expansion96_s380_cont120000,LHCb_7:10,0.7784934043884277
lambda1_start_expansion96_s381_cont120000,LHCb_7:10,0.7754805088043213
lambda1_start_expansion96_s382_cont120000,LHCb_7:10,0.7834274172782898
lambda1_start_expansion96_s383_cont120000,LHCb_7:10,0.7755069732666016
lambda1_start_expansion96_s384_cont120000,LHCb_7:10,0.7835885882377625
lambda1_start_expansion96_s385_cont120000,LHCb_7:10,0.7879559993743896
