endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nlo_scale_nuisance_sigma,max_absolute_pull,min_prediction,max_prediction,pass_diagnostic_gate
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,early_0p18_0p28,True,5.166589199180576,1.291647299795144,23.89209787004979,5.973024467512447,-0.7164607518645889,4.267574564305448,1.8042901352818184,0.007773986470658141,0.9949732806240128,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,central_0p20_0p30,True,5.228322117920466,1.3070805294801164,24.213902433468846,6.053475608367211,-0.9434515852010567,4.253878162562956,1.8515460284381164,0.00776274440862939,0.9974259097256769,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,late_0p22_0p32,True,5.288097783973618,1.3220244459934045,24.30886728098873,6.077216820247182,-1.0109951355589408,4.242482567187668,1.8908635840729164,0.007753390857786464,0.9991106803763872,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,early_0p18_0p28,True,5.166740842551992,1.291685210637998,23.846064416985676,5.961516104246419,-0.6910121740933969,4.2663597773381,1.8084814436426484,0.007772989368594737,0.9954105712543835,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,central_0p20_0p30,True,5.227646857899963,1.3069117144749907,24.145874936366727,6.036468734091682,-0.908963398219922,4.253470773281892,1.8529516198263467,0.007762410021857326,0.9977427881841385,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,late_0p22_0p32,True,5.283990019784033,1.3209975049460083,24.23627582537337,6.059068956343342,-0.9740666020556622,4.243050796343248,1.8889030562810778,0.007753857262579027,0.9993636056700399,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,early_0p18_0p28,True,5.166585852304754,1.2916464630761886,23.890849277625037,5.972712319406259,-0.7157860130506227,4.267541893038822,1.8044028590405055,0.007773959653950157,0.9949850468153265,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,central_0p20_0p30,True,5.2282915186361185,1.3070728796590296,24.212061781936427,6.053015445484107,-0.9425316149429931,4.25386934662235,1.8515764455619117,0.007762737172469631,0.9974344629353696,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,late_0p22_0p32,True,5.287922367430029,1.3219805918575072,24.306951479409683,6.076737869852421,-1.0100091850053723,4.242512293227262,1.8907610220586455,0.00775341525704017,0.9991176343043962,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,early_0p18_0p28,True,5.167015379755681,1.2917538449389203,23.939925600188744,5.984981400047186,-0.7416988523291014,4.268816350334921,1.8000056736374337,0.007775005733661099,0.9945263011039568,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,central_0p20_0p30,True,5.229237292130486,1.3073093230326216,24.284944370065077,6.071236092516269,-0.9780288066542503,4.254311546101091,1.8500507505863966,0.00776310013159295,0.9970995672356568,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,late_0p22_0p32,True,5.292157493418814,1.3230393733547035,24.385135767914687,6.096283941978672,-1.0481006110787148,4.241988140430416,1.892569475770138,0.007752985030301391,0.9988504709364988,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,early_0p18_0p28,True,5.166989840404032,1.291747460101008,23.825787677576397,5.956446919394099,-0.6794075939881319,4.265817994055023,1.8103507267887133,0.007772544670681445,0.9956056057909495,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,central_0p20_0p30,True,5.22741858158024,1.30685464539506,24.116011964090504,6.029002991022626,-0.8933583777349796,4.253293334751436,1.8535638256008782,0.007762264379592796,0.9978833612882064,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,late_0p22_0p32,True,5.2821470382500415,1.3205367595625104,24.20453156767717,6.051132891919292,-0.9573833718183681,4.2433243581881435,1.8879592018617133,0.007754081803249405,0.999475828620251,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,early_0p18_0p28,True,5.166753988206932,1.291688497051733,23.918591913717727,5.979647978429432,-0.7305845129751795,4.268264775633257,1.8019087395418678,0.00777455299891177,0.99472480030584,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,central_0p20_0p30,True,5.228862682273458,1.3072156705683644,24.25315344860525,6.0632883621513125,-0.9627593974410597,4.254102150744704,1.8507732151267071,0.007762928259036253,0.9972448214771961,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,late_0p22_0p32,True,5.290796049494699,1.3226990123736748,24.350614193142444,6.087653548285611,-1.0317034134491387,4.242099269268123,1.8921860544467857,0.007753076245301518,0.9989654247619886,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,early_0p18_0p28,True,5.166712028055781,1.2916780070139453,23.914051431336862,5.9785128578342155,-0.7281891276401504,4.268147138708758,1.8023146153360965,0.007774456442047642,0.994767233859427,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,central_0p20_0p30,True,5.228629324650621,1.3071573311626552,24.246545179334454,6.0616362948336135,-0.9594659040639583,4.254096970406595,1.8507910885440375,0.007762924006993749,0.9972757498671581,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,late_0p22_0p32,True,5.289385765649399,1.3223464414123498,24.344338275516204,6.086084568879051,-1.0281715717453959,4.242383260494201,1.891206216144059,0.007753309346450216,0.99899209275668,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,early_0p18_0p28,True,5.166622876264014,1.2916557190660034,23.862133460850593,5.965533365212648,-0.7000322828244332,4.266786306764166,1.807009814132567,0.007773339465675348,0.9952570894295429,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,central_0p20_0p30,True,5.227761840529872,1.306940460132468,24.169675520886607,6.042418880221652,-0.9211378080543233,4.2536359527972785,1.8523817106138791,0.007762545601872629,0.9976317974329248,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,late_0p22_0p32,True,5.28477597317876,1.32119399329469,24.262183803695923,6.065545950923981,-0.9870948325550569,4.243000308986586,1.889077249852281,0.007753815822352176,0.9992762981111649,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,early_0p18_0p28,True,5.166977527768542,1.2917443819421355,23.93735395714518,5.984338489286295,-0.7403707223795797,4.26875012419558,1.8002341698091773,0.007774951374977673,0.9945501580977067,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,central_0p20_0p30,True,5.229157980622623,1.3072894951556557,24.281137734220646,6.070284433555162,-0.9761977529113567,4.254294030836237,1.8501111824793903,0.007763085754992611,0.997117038986193,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,late_0p22_0p32,True,5.291771061774584,1.322942765443646,24.38117430406937,6.095293576017342,-1.0461340363612472,4.242052194429166,1.892348474007916,0.007753037606083021,0.998864735906083,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,early_0p18_0p28,True,5.1665958966002155,1.2916489741500539,23.894241483415094,5.9735603708537734,-0.7176171641135699,4.2676306298207765,1.8040966957163045,0.007774032489460221,0.9949530921432828,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,central_0p20_0p30,True,5.228362811453681,1.3070907028634202,24.217074456274794,6.0542686140686985,-0.9450279692084189,4.253896306004052,1.8514834291854005,0.007762759300839334,0.9974112253610669,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,late_0p22_0p32,True,5.288314179076462,1.3220785447691155,24.31223857435252,6.07805964358813,-1.0126849138922533,4.2424513739642435,1.890971208225674,0.007753365254262326,0.999098906997411,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,early_0p18_0p28,True,5.166673221780777,1.2916683054451943,23.854149583812738,5.9635373959531846,-0.6955699709704332,4.266574595330094,1.8077402697001397,0.007773165692072705,0.9953332281035234,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,central_0p20_0p30,True,5.227771387670613,1.3069428469176532,24.157779183623013,6.039444795905753,-0.9151146192453342,4.253536532063157,1.8527247361528103,0.007762463996931349,0.9976869215357449,False
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,late_0p22_0p32,True,5.284867626600032,1.321216906650008,24.248826507082473,6.062206626770618,-0.9806469173762244,4.242910617008441,1.889386708833981,0.007753742202813209,0.9993187187418101,False
