endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction,all_positive
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,early_0p18_0p28,True,11.244546031707953,2.8111365079269883,18.274573004524314,4.568643251131078,0.8699724578302793,2.504630690427853,2.998562439609434,0.007959934947996156,0.9812970633333011,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,central_0p20_0p30,True,14.361211930282943,3.5903029825707358,26.163127417456387,6.540781854364097,2.5544529022581175,2.297103797680576,3.158546839510082,0.007839354837731459,0.9562574351309705,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,late_0p22_0p32,True,15.407762294826476,3.851940573706619,30.4987647739582,7.62469119348955,3.240260847412124,2.142828065865245,3.150219181709401,0.007749715444459602,0.9503542326519163,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,early_0p18_0p28,True,11.304754768921894,2.8261886922304735,18.251249593391105,4.562812398347776,0.8171406295586142,2.5057485939323128,3.0056700074807132,0.00796058448756208,0.9807551978468676,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,central_0p20_0p30,True,15.105327830360377,3.776331957590094,26.870054404141364,6.717513601035341,2.561556617391054,2.2810423647273823,3.1989176784317483,0.007830022604540535,0.9518825342665995,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,late_0p22_0p32,True,16.455243683929,4.11381092098225,31.814208826590967,7.953552206647742,3.3059201587135054,2.1047225581709426,3.1939693859011165,0.007727574861816818,0.9444064666490655,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,early_0p18_0p28,True,11.246166821262332,2.811541705315583,18.274067547073592,4.568516886768398,0.8686615884273917,2.5046612087470153,2.998756445637124,0.007959952680166868,0.981282273173071,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,central_0p20_0p30,True,14.378897437783978,3.5947243594459946,26.18080095319978,6.545200238299945,2.5548102351573885,2.29670376360358,3.1595392173242622,0.007839122404467146,0.9561491372461844,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,late_0p22_0p32,True,15.43206336516451,3.8580158412911274,30.530882023088765,7.632720505772191,3.2420929280941686,2.141880506360249,3.151218786506664,0.007749164880491326,0.9502095590643923,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,early_0p18_0p28,True,11.183708094324594,2.7959270235811484,18.289637871179778,4.5724094677949445,0.9157400333436045,2.5034675888029865,2.9911673245625647,0.007959259146800856,0.9818608612388333,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,central_0p20_0p30,True,13.768135691209551,3.4420339228023877,25.5412651727031,6.385316293175775,2.5362611196648914,2.310954135064073,3.123712127097845,0.00784740234996853,0.9600311598550887,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,late_0p22_0p32,True,14.604094408057305,3.6510236020143263,29.384385666603023,7.346096416650756,3.1703764835899753,2.1746273728722767,3.1135376580152885,0.00776819191222958,0.9553239577904512,True
