endpoint,row_id,profile,qT,W_lambda1_fiducial,FO_DYTurbo,FO_DYTurbo_unc,profile_value,matched_lambda1,CS,error
lambda1_start_expansion48_s327_cont320000,LHCb_7:10,early_0p18_0p28,21.75,0.78255295753479,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8123137239304477,1.003090909,0.028490973
lambda1_start_expansion48_s328_cont240000,LHCb_7:10,early_0p18_0p28,21.75,0.7837511301040649,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8127144594447586,1.003090909,0.028490973
lambda1_start_expansion48_s329_cont200000,LHCb_7:10,early_0p18_0p28,21.75,0.781377911567688,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8119207232375253,1.003090909,0.028490973
lambda1_start_expansion48_s330_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7799620032310486,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8114471647785433,1.003090909,0.028490973
lambda1_start_expansion48_s331_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7836982011795044,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126967570700343,1.003090909,0.028490973
lambda1_start_expansion48_s332_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7805873155593872,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8116563039826342,1.003090909,0.028490973
lambda1_start_expansion48_s333_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7759089469909668,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8100915974599864,1.003090909,0.028490973
lambda1_start_expansion48_s334_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7831994295120239,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8125299400974071,1.003090909,0.028490973
lambda1_start_expansion48_s335_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7755053639411926,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8099566168527135,1.003090909,0.028490973
lambda1_start_expansion48_s336_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7834780216217041,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126231167859898,1.003090909,0.028490973
lambda1_start_expansion48_s337_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7885406017303467,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8143163250062423,1.003090909,0.028490973
lambda1_start_expansion48_s338_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7841213941574097,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8128382963274021,1.003090909,0.028490973
lambda1_start_expansion48_s339_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7834593057632446,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.812616857162495,1.003090909,0.028490973
lambda1_start_expansion48_s340_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7830824255943298,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8124908074830108,1.003090909,0.028490973
lambda1_start_expansion48_s341_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7826427221298218,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8123437462010951,1.003090909,0.028490973
lambda1_start_expansion48_s342_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7796461582183838,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8113415286482909,1.003090909,0.028490973
lambda1_start_expansion48_s343_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7831855416297913,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8125252952175526,1.003090909,0.028490973
lambda1_start_expansion48_s344_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7823072075843811,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.812231531485641,1.003090909,0.028490973
lambda1_start_expansion48_s345_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7814782857894897,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8119542939571602,1.003090909,0.028490973
lambda1_start_expansion48_s346_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7842811942100525,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8128917423483886,1.003090909,0.028490973
lambda1_start_expansion48_s347_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7820255160331726,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8121373181715115,1.003090909,0.028490973
lambda1_start_expansion48_s348_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7851479649543762,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8131816386696058,1.003090909,0.028490973
lambda1_start_expansion48_s349_cont160000,LHCb_7:10,early_0p18_0p28,21.75,0.7819802165031433,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8121221674904411,1.003090909,0.028490973
lambda1_start_expansion48_s350_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7843539714813232,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8129160831136344,1.003090909,0.028490973
lambda1_start_expansion96_s351_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7815279364585876,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8119708999010176,1.003090909,0.028490973
lambda1_start_expansion96_s352_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7836578488349915,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126832610028177,1.003090909,0.028490973
lambda1_start_expansion96_s353_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7819514870643616,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8121125587690254,1.003090909,0.028490973
lambda1_start_expansion96_s354_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7799091339111328,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8114294823389256,1.003090909,0.028490973
lambda1_start_expansion96_s355_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.783725380897522,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8127058474786766,1.003090909,0.028490973
lambda1_start_expansion96_s356_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7784995436668396,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8109580370012508,1.003090909,0.028490973
lambda1_start_expansion96_s357_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7759111523628235,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8100923350589332,1.003090909,0.028490973
lambda1_start_expansion96_s358_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7831074595451355,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.812499180227813,1.003090909,0.028490973
lambda1_start_expansion96_s359_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7755353450775146,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8099666442113693,1.003090909,0.028490973
lambda1_start_expansion96_s360_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7834663987159729,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126192294401888,1.003090909,0.028490973
lambda1_start_expansion96_s361_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7882145643234253,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8142072799727491,1.003090909,0.028490973
lambda1_start_expansion96_s362_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7847518920898438,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8130491698857736,1.003090909,0.028490973
lambda1_start_expansion96_s363_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7831404209136963,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8125102043418022,1.003090909,0.028490973
lambda1_start_expansion96_s364_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7817344665527344,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8120399750456344,1.003090909,0.028490973
lambda1_start_expansion96_s365_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7812037467956543,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8118624728558311,1.003090909,0.028490973
lambda1_start_expansion96_s366_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7802730798721313,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8115512061002619,1.003090909,0.028490973
lambda1_start_expansion96_s367_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7837282419204712,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8127068043637968,1.003090909,0.028490973
lambda1_start_expansion96_s368_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7824056148529053,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8122644443467557,1.003090909,0.028490973
lambda1_start_expansion96_s369_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7811670899391174,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8118502127652281,1.003090909,0.028490973
lambda1_start_expansion96_s370_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7844277620315552,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8129407627756938,1.003090909,0.028490973
lambda1_start_expansion96_s371_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7815902233123779,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8119917320874892,1.003090909,0.028490973
lambda1_start_expansion96_s372_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7855234742164612,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8133072298416364,1.003090909,0.028490973
lambda1_start_expansion96_s373_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7815151214599609,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8119666138530832,1.003090909,0.028490973
lambda1_start_expansion96_s374_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.782896876335144,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8124287494959423,1.003090909,0.028490973
lambda1_start_expansion96_s375_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7803810834884644,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8115873285135508,1.003090909,0.028490973
lambda1_start_expansion96_s376_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7836044430732727,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126653991472401,1.003090909,0.028490973
lambda1_start_expansion96_s377_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7812908291816711,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8118915980466782,1.003090909,0.028490973
lambda1_start_expansion96_s378_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7811253666877747,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.811836258190558,1.003090909,0.028490973
lambda1_start_expansion96_s379_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7836177945137024,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126698646111346,1.003090909,0.028490973
lambda1_start_expansion96_s380_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7784934043884277,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8109559836852636,1.003090909,0.028490973
lambda1_start_expansion96_s381_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7754805088043213,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8099483039132315,1.003090909,0.028490973
lambda1_start_expansion96_s382_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7834274172782898,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126061918804257,1.003090909,0.028490973
lambda1_start_expansion96_s383_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7755069732666016,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8099571551005936,1.003090909,0.028490973
lambda1_start_expansion96_s384_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7835885882377625,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8126600964088655,1.003090909,0.028490973
lambda1_start_expansion96_s385_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7879559993743896,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.814120801480008,1.003090909,0.028490973
lambda1_start_expansion96_s386_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7852809429168701,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.81322611389259,1.003090909,0.028490973
lambda1_start_expansion96_s387_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.783115029335022,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8125017119863602,1.003090909,0.028490973
lambda1_start_expansion96_s388_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7826427817344666,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8123437661362016,1.003090909,0.028490973
lambda1_start_expansion96_s389_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.782331645488739,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8122397048793764,1.003090909,0.028490973
lambda1_start_expansion96_s390_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7807048559188843,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.8116956160129905,1.003090909,0.028490973
lambda1_start_expansion96_s391_cont120000,LHCb_7:10,early_0p18_0p28,21.75,0.7824119329452515,0.8272693821276851,0.0191403677030986,0.6655444093888124,0.812266557468063,1.003090909,0.028490973
