dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error
E772,E772:0,0.125,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,29.00881096,1.310768495,6.75,0.305,0.232687924,0.00%,0.00%,,,0.022727272727272728,29.008810960039337,1.3107684952314071,1.355989595915027e-12,1.7654308639058487e-10,Data/E772.csv,0,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.045185185
E772,E772:1,0.375,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,72.07077923,2.01127756,5.59,0.156,0.077562641,0.00%,0.00%,,,0.06818181818181818,72.07077953934034,2.01127756853973,4.292174143731825e-09,4.245923282719333e-09,Data/E772.csv,1,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.027906977
E772,E772:2,0.625,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,104.0019593,2.621536991,4.84,0.122,0.046537585,0.00%,0.00%,,,0.11363636363636363,104.00195884681166,2.6215369791964926,4.3574980501264285e-09,4.5025141912015665e-09,Data/E772.csv,2,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.025206612
E772,E772:3,0.875,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,105.2912398,2.716513986,3.5,0.0903,0.033241132,0.00%,0.00%,,,0.1590909090909091,105.29123978088352,2.716513986346795,1.815581660142431e-10,1.2766178965933346e-10,Data/E772.csv,3,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.0258
E772,E772:4,1.125,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,99.01674141,2.970502242,2.56,0.0768,0.025854214,0.00%,0.00%,,,0.20454545454545456,99.0167405591986,2.9705022167759574,8.592500490270613e-09,8.491507615681972e-09,Data/E772.csv,4,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.03
E772,E772:5,1.375,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,84.14703979,3.17678712,1.78,0.0672,0.021153448,0.00%,0.00%,,,0.25,84.14703834571084,3.1767870656358244,1.71638735914604e-08,1.711294266004034e-08,Data/E772.csv,5,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.037752809
E772,E772:6,1.625,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,62.57307964,2.988981929,1.12,0.0535,0.017899071,0.00%,0.00%,,,0.29545454545454547,62.57307991012495,2.9889819421354327,4.316951480599768e-09,4.39461763095241e-09,Data/E772.csv,6,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.047767857
E772,E772:7,1.875,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,52.6671079,4.041894327,0.817,0.0627,0.015512528,0.00%,0.00%,,,0.3409090909090909,52.66710880392932,4.041894396580623,1.716307083262997e-08,1.721485427722723e-08,Data/E772.csv,7,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.076744186
E772,E772:8,2.125,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,18.92233995,2.177164983,0.259,0.0298,0.013687525,0.00%,0.00%,,,0.38636363636363635,18.922339867872388,2.1771649732146607,4.340246151989547e-09,4.4945326982564445e-09,Data/E772.csv,8,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.115057915
E772,E772:9,2.375,5.5,0.657129378,0.2,0.273475627,0.073475627,38.8,,28.25243307,4.695129774,0.346,0.0575,0.012246733,0.00%,0.00%,,,0.4318181818181818,28.252432710013355,4.695129713369272,1.2741792619045105e-08,1.2913536134727153e-08,Data/E772.csv,9,0.608427374,0.713817525,5.0,6.0,0.1,0.3,0.166184971
