dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error
E288_400,E288_400:0,0.1,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,1.810285714,0.075428571,2.88,0.12,1.590909091,0.00%,0.00%,,,0.018181818181818184,1.8102857141822692,0.07542857142426122,1.0068538315673233e-10,5.624675310219007e-09,Data/E288_400.csv,0,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.041666667
E288_400,E288_400:1,0.3,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,5.204571429,0.150857143,2.76,0.08,0.53030303,0.00%,0.00%,,,0.05454545454545454,5.204571431545469,0.15085714294334693,4.890834233613723e-10,3.755411908021885e-10,Data/E288_400.csv,1,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.028985507
E288_400,E288_400:2,0.5,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,7.228571429,0.22,2.3,0.07,0.318181818,0.00%,0.00%,,,0.09090909090909091,7.22857143270204,0.2200000001257143,5.121399831813796e-10,5.714286364053538e-10,Data/E288_400.csv,2,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.030434783
E288_400,E288_400:3,0.7,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,9.152,0.308,2.08,0.07,0.227272727,0.00%,0.00%,,,0.12727272727272726,9.1520000109824,0.3080000003696,1.2000000823208504e-09,1.2000000545930027e-09,Data/E288_400.csv,3,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.033653846
E288_400,E288_400:4,0.9,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,8.372571429,0.339428571,1.48,0.06,0.176767677,0.00%,0.00%,,,0.16363636363636364,8.372571417567476,0.33942857098246526,1.3654734817805288e-09,5.165962127751249e-11,Data/E288_400.csv,4,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.040540541
E288_400,E288_400:5,1.1,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,8.158857143,0.414857143,1.18,0.06,0.144628099,0.00%,0.00%,,,0.2,8.158857152647771,0.41485714335497137,1.1824904397672595e-09,8.556472783573744e-10,Data/E288_400.csv,5,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.050847458
E288_400,E288_400:6,1.3,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,6.676057143,0.392228571,0.817,0.048,0.122377622,0.00%,0.00%,,,0.23636363636363636,6.676057163457547,0.3922285726388767,3.0643156981479355e-09,4.178371529614436e-09,Data/E288_400.csv,6,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.05875153
E288_400,E288_400:7,1.5,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,5.562857143,0.405428571,0.59,0.043,0.106060606,0.00%,0.00%,,,0.2727272727272727,5.562857146035918,0.4054285716602449,5.457480039150701e-10,1.6285109263065693e-09,Data/E288_400.csv,7,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.072881356
E288_400,E288_400:8,1.7,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,4.894057143,0.395371429,0.458,0.037,0.093582888,0.00%,0.00%,,,0.3090909090909091,4.89405712719616,0.39537142730624,3.229189924157738e-09,4.2839717209976305e-09,Data/E288_400.csv,8,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.080786026
E288_400,E288_400:9,1.9,5.5,0.03,0.012048491,0.206892673,0.194844182,27.39342987,400.0,3.809771429,0.382171429,0.319,0.032,0.083732057,0.00%,0.00%,,,0.34545454545454546,3.8097714475114355,0.38217143047136654,4.8589359625955116e-09,3.850017063811216e-09,Data/E288_400.csv,9,0.027500659,0.032998961,5.0,6.0,0.010953174,0.013143809,0.10031348
