dataset,row_id,qT,QM,y,xF,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,target,unit,qT_over_Q,CS_from_A_over_PreFactor,error_from_dA_over_PreFactor,relerr_CS_vs_A_over_PreFactor,relerr_error_vs_dA_over_PreFactor,source_file,source_row,y_Low,y_High,QM_Low,QM_High,xF_Low,xF_High,frac_error
E288_200,E288_200:0,0.1,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,3.953714286,0.201142857,6.29,0.32,1.590909091,0.00%,0.00%,,,0.022222222222222223,3.953714285488359,0.20114285713136326,1.2940766955257556e-10,6.530843574643775e-10,Data/E288_200.csv,0,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.050874404
E288_200,E288_200:1,0.3,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,11.088,0.452571429,5.88,0.24,0.53030303,0.00%,0.00%,,,0.06666666666666667,11.088000006336,0.4525714288300408,5.714285863411843e-10,3.7554119080218844e-10,Data/E288_200.csv,1,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.040816327
E288_200,E288_200:2,0.5,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,14.92857143,0.722857143,4.75,0.23,0.318181818,0.00%,0.00%,,,0.1111111111111111,14.92857143710204,0.7228571432702041,4.75734726194734e-10,3.7380011230078407e-10,Data/E288_200.csv,2,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.048421053
E288_200,E288_200:3,0.7,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,16.236,0.968,3.69,0.22,0.227272727,0.00%,0.00%,,,0.15555555555555556,16.2360000194832,0.9680000011616,1.1999999403001668e-09,1.2000000382083652e-09,Data/E288_200.csv,3,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.059620596
E288_200,E288_200:4,0.9,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,16.57542857,1.244571429,2.93,0.22,0.176767677,0.00%,0.00%,,,0.2,16.57542854964372,1.244571426935706,1.228099675051634e-09,1.6586384846338975e-09,Data/E288_200.csv,4,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.075085324
E288_200,E288_200:5,1.1,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,11.616,1.106285714,1.68,0.16,0.144628099,0.00%,0.00%,,,0.24444444444444446,11.6160000139392,1.106285715613257,1.199999999977545e-09,1.4582644073848018e-09,Data/E288_200.csv,5,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.095238095
E288_200,E288_200:6,1.3,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,10.296,1.144,1.26,0.14,0.122377622,0.00%,0.00%,,,0.2888888888888889,10.296000031770514,1.1440000035300573,3.08571435601933e-09,3.0857144638498484e-09,Data/E288_200.csv,6,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.111111111
E288_200,E288_200:7,1.5,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,6.392571429,1.169142857,0.678,0.124,0.106060606,0.00%,0.00%,,,0.3333333333333333,6.392571432224327,1.1691428578109389,5.043864769743266e-10,6.936182915471052e-10,Data/E288_200.csv,7,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.182890855
E288_200,E288_200:8,1.7,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,6.390057143,1.089942857,0.598,0.102,0.093582888,0.00%,0.00%,,,0.37777777777777777,6.39005712240896,1.08994285365504,3.2223561579184565e-09,3.0689316097725013e-09,Data/E288_200.csv,8,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.170568562
E288_200,E288_200:9,1.9,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,0.704628571,0.800171429,0.059,0.067,0.083732057,0.00%,0.00%,,,0.4222222222222222,0.704628574931582,0.8001714325494238,5.579651748149144e-09,4.435829136767381e-09,Data/E288_200.csv,9,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,1.13559322
E288_200,E288_200:10,2.1,4.5,0.4,0.190849544,0.346576325,0.155726781,19.37008002,200.0,2.3232,0.8184,0.176,0.062,0.075757576,0.00%,0.00%,,,0.4666666666666667,2.32319999256576,0.8183999973811201,3.199999952805693e-09,3.1999998664780334e-09,Data/E288_200.csv,10,0.361736263,0.44705553,4.0,5.0,0.169644039,0.212055048,0.352272727
E288_200,E288_200:14,0.1,5.5,0.4,0.233260553,0.423593286,0.190332732,19.37008002,200.0,1.024571429,0.069142857,1.63,0.11,1.590909091,0.00%,0.00%,,,0.018181818181818184,1.0245714285128815,0.06914285713890612,4.754364155753455e-10,2.0089728493026826e-09,Data/E288_200.csv,14,0.368150244,0.437715688,5.0,6.0,0.212055048,0.254466058,0.067484663
E288_200,E288_200:15,0.3,5.5,0.4,0.233260553,0.423593286,0.190332732,19.37008002,200.0,2.715428571,0.150857143,1.44,0.08,0.53030303,0.00%,0.00%,,,0.05454545454545454,2.7154285729802448,0.15085714294334693,7.292568387491033e-10,3.755411908021885e-10,Data/E288_200.csv,15,0.368150244,0.437715688,5.0,6.0,0.212055048,0.254466058,0.055555556
