qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,frac_error
0.1,0.785,0.635284813,1.235666246,0.115,0.18102117,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.146496815
0.3,0.973,0.211761604,4.594789519,0.0861,0.406589288,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.088489209
0.5,0.825,0.127056963,6.493150656,0.0616,0.484821916,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.074666667
0.7,0.805,0.090754973,8.870037321,0.057,0.628064754,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.070807453
0.9,0.569,0.070587201,8.060951396,0.0422,0.59784209,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.074165202
1.1,0.537,0.057753165,9.29819174,0.0447,0.773983558,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.083240223
1.3,0.388,0.048868063,7.939745918,0.039,0.798067244,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.100515464
1.5,0.312,0.042352321,7.366774563,0.038,0.897235363,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.121794872
1.7,0.229,0.037369695,6.127960122,0.0373,0.998134989,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.162882096
1.9,0.136,0.033436043,4.067466981,0.0307,0.918170855,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.225735294
2.1,0.137,0.030251658,4.528677439,0.0433,1.431326519,15.00%,5.00%,-0.255865709,-0.240184026,-0.273712348,7.5,7,8,38.8,-0.1,0,0,0.149660941,0.249660941,0.316058394
0.1,0.333,0.714972412,0.465752237,0.0246,0.034406922,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.073873874
0.3,0.439,0.238324137,1.842029117,0.0201,0.084338919,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.045785877
0.5,0.368,0.142994482,2.573525873,0.0139,0.097206548,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.037771739
0.7,0.37,0.102138916,3.622517398,0.0136,0.133151991,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.036756757
0.9,0.259,0.079441379,3.260265658,0.00988,0.124368435,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.038146718
1.1,0.224,0.064997492,3.446286821,0.00933,0.143544,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.041651786
1.3,0.18,0.054997878,3.272853556,0.00895,0.162733552,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.049722222
1.5,0.131,0.047664827,2.748357794,0.00802,0.168258241,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.061221374
1.7,0.0875,0.042057201,2.080499857,0.00678,0.161209017,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.077485714
1.9,0.0713,0.037630127,1.894758424,0.00703,0.186818397,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.098597475
2.1,0.0482,0.034046305,1.415718961,0.00633,0.185923258,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.131327801
2.3,0.0272,0.031085757,0.874998797,0.00542,0.174356378,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.199264706
2.5,0.0217,0.028598896,0.758770536,0.00515,0.180076878,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.237327189
2.7,0.0184,0.02648046,0.694851986,0.00571,0.215630698,15.00%,-15.00%,-0.226298838,-0.213920253,-0.240184026,8.5,8,9,38.8,-0.1,0,0,0.174705615,0.274705615,0.310326087
0.1,0.0701,0.915983356,0.076529775,0.0084,0.009170472,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.119828816
0.3,0.0784,0.305327785,0.256773225,0.00554,0.018144434,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.070663265
0.5,0.0712,0.183196671,0.38865335,0.00412,0.022489492,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.057865169
