qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,frac_error
0.7,0.0624,0.130854765,0.47686456,0.00331,0.025295219,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.053044872
0.9,0.0503,0.101775928,0.494222954,0.00265,0.026037591,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.052683897
1.1,0.039,0.083271214,0.468349121,0.00207,0.02485853,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.053076923
1.3,0.0312,0.070460258,0.442802806,0.00176,0.02497862,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.056410256
1.5,0.0234,0.061065557,0.383194736,0.0015,0.024563765,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.064102564
1.7,0.0147,0.053881374,0.272821551,0.00103,0.019116068,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.070068027
1.9,0.0131,0.04820965,0.271729828,0.00106,0.021987299,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.080916031
2.1,0.00705,0.043618255,0.161629574,0.000719,0.016483924,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.101985816
2.3,0.005,0.039825363,0.125548133,0.000607,0.015241543,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.1214
2.5,0.00459,0.036639334,0.125275202,0.000622,0.016976291,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.135511983
2.7,0.0033,0.033925309,0.09727251,0.000587,0.017302716,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.177878788
2.9,0.00215,0.031585633,0.068068922,0.000493,0.015608362,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.229302326
3.1,0.00159,0.02954785,0.053811021,0.000524,0.017733947,15.00%,5.00%,-0.175461928,-0.167905599,-0.183726531,11,10.5,11.5,38.8,-0.1,0,0,0.237880483,0.337880483,0.329559748
0.1,0.0508,1.037342286,0.0489713,0.00642,0.006188893,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.126377953
0.3,0.0679,0.345780762,0.1963672,0.00479,0.013852708,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.070544919
0.5,0.0646,0.207468457,0.311372634,0.00387,0.018653438,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.059907121
0.7,0.0492,0.148191755,0.332002276,0.00263,0.017747276,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.053455285
0.9,0.0417,0.115260254,0.361789937,0.00219,0.019000479,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.052517986
1.1,0.0323,0.094303844,0.342509898,0.00176,0.018663078,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.054489164
1.3,0.0247,0.07979556,0.30954103,0.00146,0.018296757,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.059109312
1.5,0.0194,0.069156152,0.280524571,0.00119,0.017207435,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.061340206
1.7,0.0137,0.061020134,0.224516057,0.000976,0.015994721,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.071240876
1.9,0.00866,0.054596962,0.158616883,0.000731,0.013389023,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.084411085
2.1,0.00679,0.049397252,0.13745704,0.000636,0.01287521,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.093667158
2.3,0.0044,0.045101839,0.097556999,0.00055,0.012194625,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.125
2.5,0.00334,0.041493691,0.080494164,0.000483,0.011640324,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.144610778
2.7,0.00262,0.038420085,0.068193499,0.00042,0.010931782,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.160305344
2.9,0.00165,0.035770424,0.046127494,0.00033,0.009225499,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.2
3.1,0.0012,0.033462654,0.035860873,0.000284,0.008487073,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.236666667
3.3,0.00111,0.031434615,0.035311392,0.000298,0.009479995,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.268468468
3.5,0.000654,0.029638351,0.022066005,0.000243,0.008198837,15.00%,5.00%,-0.154583607,-0.143213646,-0.167905599,12.5,11.5,13.5,38.8,-0.1,0,0,0.276021861,0.376021861,0.371559633
0.1,0.024,1.301349661,0.018442392,0.00546,0.004195644,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.2275
0.3,0.0206,0.43378322,0.047489158,0.0029,0.006685367,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.140776699
0.5,0.0188,0.260269932,0.0722327,0.00213,0.008183811,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.113297872
0.7,0.0171,0.185907094,0.091981428,0.00172,0.009251933,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.100584795
0.9,0.00973,0.144594407,0.067291676,0.00116,0.00802244,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.119218911
1.1,0.0107,0.118304515,0.090444562,0.00109,0.009213511,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.101869159
1.3,0.00791,0.10010382,0.079017963,0.000879,0.008780884,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.111125158
1.5,0.00605,0.086756644,0.069735293,0.000697,0.008033967,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.115206612
1.7,0.0035,0.07654998,0.045721762,0.000509,0.006649251,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.145428571
1.9,0.00194,0.068492087,0.02832444,0.000359,0.005241481,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.185051546
2.1,0.002,0.061969031,0.032274185,0.000366,0.005906176,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.183
2.3,0.00136,0.05658042,0.024036584,0.000294,0.005196144,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.216176471
2.5,0.00136,0.052053986,0.026126721,0.000288,0.005532717,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.211764706
2.7,0.0006,0.048198136,0.012448614,0.000191,0.003962809,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.318333333
2.9,0.000435,0.044874126,0.009693782,0.000166,0.003699236,15.00%,5.00%,-0.122865244,-0.107570202,-0.143213646,15.75,13.5,18,38.8,-0.1,0,0,0.358995608,0.458995608,0.381609195
0.1,0.182,0.82890609,0.219566489,0.0114,0.013753066,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.062637363
0.3,0.217,0.27630203,0.785372442,0.00846,0.030618668,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.038986175
0.5,0.19,0.165781218,1.146088817,0.00637,0.038424136,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.033526316
0.7,0.178,0.118415156,1.503185965,0.00528,0.044588887,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.029662921
0.9,0.164,0.092100677,1.780660099,0.00463,0.050271075,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.028231707
1.1,0.138,0.075355099,1.831329289,0.00403,0.053480123,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.029202899
1.3,0.106,0.063762007,1.66243199,0.0034,0.05332329,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.032075472
1.5,0.0909,0.055260406,1.644939055,0.00325,0.058812452,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.035753575
1.7,0.0661,0.048759182,1.355642109,0.0028,0.057425082,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.042360061
1.9,0.0591,0.043626636,1.354676982,0.00284,0.065097845,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.048054146
2.1,0.0414,0.039471719,1.048852229,0.00249,0.063083141,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.060144928
2.3,0.0309,0.036039395,0.857395076,0.00238,0.066038844,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.077022654
2.5,0.0262,0.033156244,0.790198079,0.00254,0.076606989,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.096946565
2.7,0.0182,0.030700226,0.592829521,0.00245,0.079803974,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.134615385
2.9,0.00876,0.028582969,0.306476214,0.0018,0.062974564,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.205479452
3.1,0.0134,0.026738906,0.501142415,0.0033,0.123415669,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.246268657
3.3,0.004,0.025118366,0.159246025,0.00127,0.050560613,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.3175
3.5,0.00482,0.023683031,0.203521246,0.00201,0.084870893,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.417012448
3.9,0.00247,0.021254002,0.116213406,0.00139,0.065399447,15.00%,5.00%,0.194338918,0.18407325,0.205808958,9.92,9.36,10.48,38.8,0.1,0,0,0.310513342,0.210513342,0.562753036
