qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
0.1,9.16,1.590909091,5.757714286,0.42,0.264,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.045851528
0.3,7.65,0.53030303,14.42571429,0.3,0.565714286,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.039215686
0.5,6.61,0.318181818,20.77428571,0.3,0.942857143,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.045385779
0.7,5.58,0.227272727,24.552,0.3,1.32,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.053763441
0.9,3.91,0.176767677,22.11942857,0.27,1.527428571,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.069053708
1.1,2.73,0.144628099,18.876,0.23,1.590285714,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.084249084
1.3,1.85,0.122377622,15.11714286,0.2,1.634285714,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.108108108
1.5,1.58,0.106060606,14.89714286,0.2,1.885714286,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.126582278
1.7,0.838,0.093582888,8.954628571,0.155,1.656285714,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.1849642
1.9,0.503,0.083732057,6.007257143,0.136,1.624228571,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.270377734
2.1,0.397,0.075757576,5.2404,0.102,1.3464,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.256926952
2.3,0.189,0.06916996,2.7324,0.084,1.2144,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.444444444
2.5,0.058,0.063636364,0.911428571,0.101,1.587142857,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,1.74137931
2.7,0.212,0.058922559,3.597942857,0.194,3.292457143,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,0.91509434
2.9,0.139,0.054858934,-2.533771429,0.108,1.968685714,0.00%,0.00%,0.21,0.189260324,0.235799069,4.5,4,5,23.72340616,0.080255008,0.071337785,0.089172232,0.234011559,0.153756551,300,-0.776978417
0.1,2.57,1.590909091,1.615428571,0.16,0.100571429,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.062256809
0.3,2.3,0.53030303,4.337142857,0.1,0.188571429,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.043478261
0.5,2.07,0.318181818,6.505714286,0.1,0.314285714,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.048309179
0.7,1.82,0.227272727,8.008,0.11,0.484,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.06043956
0.9,1.13,0.176767677,6.392571429,0.08,0.452571429,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.07079646
1.1,0.872,0.144628099,6.029257143,0.073,0.504742857,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.083715596
1.3,0.635,0.122377622,5.188857143,0.061,0.498457143,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.096062992
1.5,0.384,0.106060606,3.620571429,0.042,0.396,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.109375
1.7,0.26,0.093582888,2.778285714,0.038,0.406057143,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.146153846
1.9,0.124,0.083732057,1.480914286,0.025,0.298571429,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.201612903
2.1,0.103,0.075757576,1.3596,0.022,0.2904,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.213592233
2.3,0.079,0.06916996,1.142114286,0.023,0.332514286,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.291139241
2.5,0.032,0.063636364,0.502857143,0.013,0.204285714,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.40625
2.7,0.014,0.058922559,0.2376,0.012,0.203657143,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,0.857142857
2.9,0.0066,0.054858934,0.120308571,0.0115,0.209628571,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,1.742424242
3.1,0.0055,0.051319648,0.107171429,0.0096,0.187062857,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,1.745454545
3.9,0.0133,0.040792541,0.32604,0.0138,0.338297143,0.00%,0.00%,0.21,0.19272276,0.230651048,5.5,5,6,23.72340616,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,300,1.037593985
0.1,0.849,1.590909091,0.533657143,0.07,0.044,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.082449941
0.3,0.783,0.53030303,1.476514286,0.043,0.081085714,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.054916986
0.5,0.655,0.318181818,2.058571429,0.035,0.11,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.053435115
0.7,0.54,0.227272727,2.376,0.033,0.1452,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.061111111
0.9,0.414,0.176767677,2.342057143,0.03,0.169714286,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.072463768
1.1,0.286,0.144628099,1.977485714,0.024,0.165942857,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.083916084
1.3,0.187,0.122377622,1.528057143,0.019,0.155257143,0.00%,0.00%,0.21,0.195194535,0.227215687,6.5,6,7,23.72340616,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,300,0.101604278
