qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,frac_error
3.625,0.0106,0.006781067,1.563175928,0.00886,1.306579124,0.00%,0.00%,0.566184669,0.529232258,0.608427374,6.5,6,7,38.8,0.2,0.1,0.3,0.295102242,0.095102242,0.835849057
3.875,0.000501,0.006343578,0.078977506,0.000432,0.068100364,0.00%,0.00%,0.566184669,0.529232258,0.608427374,6.5,6,7,38.8,0.2,0.1,0.3,0.295102242,0.095102242,0.862275449
0.125,1.68,0.170284035,9.865869112,0.12,0.704704937,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.071428571
0.375,1.16,0.056761345,20.43644316,0.051,0.898498794,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.043965517
0.625,0.97,0.034056807,28.48182452,0.0362,1.062929946,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.037319588
0.875,0.73,0.024326291,30.00868521,0.0278,1.142796505,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.038082192
1.125,0.534,0.018920448,28.22343271,0.0224,1.183904293,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.041947566
1.375,0.357,0.015480367,23.06146905,0.0177,1.14338376,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.049579832
1.625,0.222,0.013098772,16.94815372,0.014,1.068802487,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.063063063
1.875,0.13,0.011352269,11.45145522,0.00997,0.878238527,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.076692308
2.125,0.0839,0.010016708,8.376005425,0.00893,0.89151047,0.00%,0.00%,0.496661243,0.467755333,0.529232258,7.5,7,8,38.8,0.2,0.1,0.3,0.317633847,0.117633847,0.106436234
