dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj,ratio_true_nlo_over_data,data_minus_true_nlo_fraction,region
LHCb_7,LHCb_7:0,1.1,0.0,2.2,0.0122222222222222,2.933636364,6.4540000008,53575.7694592573,14.90858013172999,53.5757694592573,0.0149085801317299,24.35262248148059,0.0067766273326045,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_0_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_0_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_0_dyturbo_vj_true_nlo_fid.txt,True,8.301172831207989,-7.301172831207989,resummation-dominated-qT-over-Q<0p10
LHCb_7,LHCb_7:1,2.8,2.2,3.4,0.0311111111111111,5.433333333,6.519999999599999,16520.20186341086,4.474414867167241,16.52020186341086,0.0044744148671672,13.76683488617572,0.0037286790559727,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_1_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_1_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_1_dyturbo_vj_true_nlo_fid.txt,True,2.5337732920896276,-1.5337732920896276,resummation-dominated-qT-over-Q<0p10
LHCb_7,LHCb_7:2,4.0,3.4,4.6,0.0444444444444444,5.174166667,6.209000000399998,10035.24856736564,2.726575886734451,10.03524856736564,0.0027265758867344,8.362707139471368,0.0022721465722787,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_2_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_2_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_2_dyturbo_vj_true_nlo_fid.txt,True,1.6162423202962064,-0.6162423202962064,resummation-dominated-qT-over-Q<0p10
LHCb_7,LHCb_7:3,5.2,4.6,5.8,0.0577777777777777,4.89,5.868,6899.570008548438,1.885478111434771,6.899570008548438,0.0018854781114347,5.749641673790364,0.0015712317595289,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_3_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_3_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_3_dyturbo_vj_true_nlo_fid.txt,True,1.175795843310913,-0.17579584331091302,resummation-dominated-qT-over-Q<0p10
LHCb_7,LHCb_7:4,6.5,5.8,7.2,0.0722222222222222,4.106428571,5.748999999400002,5814.748070215296,1.598474222537826,5.8147480702152965,0.0015984742225378,4.15339147872521,0.0011417673018127,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_4_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_4_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_4_dyturbo_vj_true_nlo_fid.txt,True,1.0114364360449044,-0.011436436044904408,resummation-dominated-qT-over-Q<0p10
LHCb_7,LHCb_7:5,7.95,7.2,8.7,0.0883333333333333,3.738,5.606999999999997,4599.307670136675,1.272303454692289,4.599307670136676,0.0012723034546922,3.066205113424452,0.0008482023031281,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_5_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_5_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_5_dyturbo_vj_true_nlo_fid.txt,True,0.8202795916063275,0.17972040839367254,resummation-dominated-qT-over-Q<0p10
LHCb_7,LHCb_7:6,9.6,8.7,10.5,0.1066666666666666,3.131666667,5.637000000600002,4122.214988769691,1.148360720154646,4.122214988769692,0.0011483607201546,2.2901194382053838,0.0006379781778636,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_6_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_6_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_6_dyturbo_vj_true_nlo_fid.txt,True,0.7312781600728976,0.2687218399271024,transition-approach-qT-over-Q-0p10-to-0p20
LHCb_7,LHCb_7:7,11.65,10.5,12.8,0.1294444444444444,2.40173913,5.523999999000002,3866.002885108504,1.086216967599679,3.866002885108504,0.0010862169675996,1.6808708196123925,0.0004722682467824,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_7_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_7_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_7_dyturbo_vj_true_nlo_fid.txt,True,0.6998556998204848,0.3001443001795152,transition-approach-qT-over-Q-0p10-to-0p20
LHCb_7,LHCb_7:8,14.1,12.8,15.4,0.1566666666666666,1.983846154,5.1580000004,3177.414609358832,0.9002169601329202,3.177414609358832,0.0009002169601329,1.2220825420610897,0.0003462372923588,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_8_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_8_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_8_dyturbo_vj_true_nlo_fid.txt,True,0.6160167912199354,0.38398320878006464,transition-approach-qT-over-Q-0p10-to-0p20
LHCb_7,LHCb_7:9,17.2,15.4,19.0,0.1911111111111111,1.378611111,4.962999999599999,3117.348708170665,0.8931692851626472,3.117348708170665,0.0008931692851626,0.8659301967140737,0.0002481025792118,reports/lhcb7_external_true_nlo_all14/cards/LHCb_7_9_dyturbo_vj_true_nlo_fid.in,reports/lhcb7_external_true_nlo_all14/logs/LHCb_7_9_dyturbo_vj_true_nlo_fid.log,reports/lhcb7_external_true_nlo_all14/tables/LHCb_7_9_dyturbo_vj_true_nlo_fid.txt,True,0.6281178135043144,0.3718821864956856,transition-approach-qT-over-Q-0p10-to-0p20
