flavor,kT,q16,central,q84
u,0.0,3.343358868456917,3.659874629391783,3.8211743717221593
u,0.01,3.342451159697146,3.658813734145093,3.8200373437059008
u,0.02,3.3397299676462593,3.6556330748302184,3.816628443336663
u,0.03,3.335200692863144,3.6503387243329914,3.810954214761315
u,0.04,3.3288716531085996,3.6429461530934946,3.8030329344930087
u,0.05,3.3207547481731354,3.6334892108442554,3.792919227806218
u,0.06,3.3108652135074954,3.621967395870319,3.7805693294044556
u,0.07,3.2992215723998024,3.608401587422082,3.766020051170037
u,0.08,3.285845577952773,3.592830116304185,3.7492868961190045
u,0.09,3.27076941527868,3.575313146385019,3.7304043113246697
u,0.1,3.254104794884433,3.555836491325522,3.709475284078572
u,0.11,3.235811517331491,3.534468525640041,3.686467029228228
u,0.12,3.215915564552611,3.511169622442801,3.6614485235272722
u,0.13,3.1944507958298862,3.486136187089282,3.6344407211311944
u,0.14,3.171456054617363,3.459243903809779,3.6054868372801594
u,0.15,3.1469727173942594,3.430458849521772,3.574574013531198
u,0.16,3.121044568935076,3.3999569992779506,3.5419976894241
u,0.17,3.093717671134749,3.3679067861117953,3.5075898780308976
u,0.18,3.0649685524621457,3.3343845391128992,3.471589748680925
u,0.19,3.0348665546942843,3.299494621405998,3.433896150670727
u,0.2,3.0035502055921754,3.263039044205504,3.39459259892424
u,0.21,2.9710075758447854,3.2250808823404045,3.3538644609549912
u,0.22,2.937323129924935,3.1860305475643087,3.3118683945274436
u,0.23,2.9026323330646484,3.1455846571755437,3.268290711724827
u,0.24,2.866984627821548,3.103871702552671,3.2235907507808372
u,0.25,2.8306191853261184,3.060996627268432,3.1777323515054094
u,0.26,2.793093263331817,3.0171057293605177,3.1303157493133615
u,0.27,2.754531179600936,2.9721162584498835,3.0821163640661458
u,0.28,2.7153092702940533,2.92637149900162,3.033254710247079
u,0.29,2.6751163820116983,2.879654167848039,2.983246847788923
u,0.3,2.6343072092622855,2.832229929696899,2.9325313959446433
