success,nfev,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nlo_scale_nuisance_sigma,max_absolute_pull,all_starts_success,start_objective_range,replica
True,9,61.09932018228807,2.545805007595336,1.4354536680419714,1.1191247779818583,3.3063252010519353,True,4.618527782440651e-13,0
True,9,57.25514349743044,2.3856309790596018,1.3885257807409206,1.2477404161991927,2.9759221933861877,True,1.9895196601282805e-13,1
True,15,43.79553729006304,1.8248140537526265,1.3470947628790022,0.989665413583917,2.9486594211380197,True,2.0605739337042905e-13,2
True,7,48.67113895325937,2.027964123052474,1.3951392165843506,1.1841022001718322,3.3887910932410676,True,1.7053025658242404e-13,3
True,9,46.3983499814538,1.933264582560575,1.4547966158069268,0.9904196920282096,3.5842314635297163,True,3.481659405224491e-13,4
True,10,28.904193818911775,1.204341409121324,1.3864185988014048,1.0512938690928986,2.499622230581353,True,8.171241461241152e-14,5
True,9,38.509454797372996,1.6045606165572082,1.4061020118531518,1.3445078679112594,2.1658146853930953,True,1.4921397450962104e-13,6
True,9,45.42244915467088,1.8926020481112866,1.3768914342055452,0.5964665196332537,2.1594233716562057,True,2.2737367544323206e-13,7
True,14,44.76043957770743,1.8650183157378095,1.3019799956185156,0.8988036976062872,2.8316079839359283,True,3.126388037344441e-13,8
True,10,54.80239473818374,2.283433114090989,1.4014938807481494,0.916471612910432,3.1459685744556425,True,2.2737367544323206e-13,9
True,14,50.03878077590919,2.0849491989962163,1.3386684875501353,1.0799929284362362,2.848649863224735,True,3.623767952376511e-13,10
True,7,61.62789692350594,2.5678290384794145,1.3522540036759803,0.5098044082489712,2.983565719776281,True,2.5579538487363607e-13,11
True,8,30.632615758766182,1.276358989948591,1.2674411225263784,0.6385186579681211,2.6895054431767718,True,2.4513724383723456e-13,12
True,8,40.40924252902351,1.683718438709313,1.323298030737682,0.9780538598354444,2.449898327785008,True,1.5631940186722204e-13,13
True,9,53.6873083762291,2.236971182342879,1.324247061771164,1.0608344344769487,3.139728025610804,True,2.4868995751603507e-13,14
True,8,75.06212665059645,3.127588610441519,1.352006808369686,0.8070721234216166,3.1747286941225554,True,2.1316282072803006e-13,15
True,8,41.182794544623654,1.7159497726926523,1.3712309486348204,1.4726028415624397,3.2285499792453174,True,1.0658141036401503e-13,16
True,7,55.98913249015422,2.3328805204230925,1.3299212751082108,1.3701770778743851,3.0587189392872522,True,2.0605739337042905e-13,17
True,7,55.78011850883728,2.324171604534887,1.339556577740896,0.9909001012256329,3.6063015972837253,True,3.623767952376511e-13,18
True,8,50.79920833771823,2.1166336807382593,1.2631737261372016,0.7265028440178426,2.811361437658951,True,2.4158453015843406e-13,19
True,8,66.64492724412638,2.7768719685052656,1.2672241630809336,0.8208510158098791,4.347558586571232,True,3.836930773104541e-13,20
True,8,43.02203808935573,1.792584920389822,1.3023889826527455,0.8384610952362086,2.6339674759144844,True,2.5579538487363607e-13,21
True,9,45.1418095173333,1.8809087298888876,1.369543022489594,0.8762349974525365,2.7040391194191433,True,2.1316282072803006e-13,22
True,7,49.72766671765059,2.0719861132354414,1.3506185264889083,0.931182975091404,2.9349703601854507,True,2.7000623958883807e-13,23
True,7,38.12880019819588,1.5887000082581617,1.3679367017561794,1.1659060380890633,2.6541831286745765,True,1.9895196601282805e-13,24
True,8,38.26906614133774,1.594544422555739,1.3339705698591913,0.9283509776145914,2.2474972090998024,True,2.8421709430404007e-13,25
True,8,34.38967456627673,1.4329031069281972,1.3490904872388276,0.9051033986070035,2.3851926355917747,True,1.6342482922482304e-13,26
True,9,63.193859528006705,2.6330774803336126,1.333845179812953,0.7418476917641141,3.6612553810404798,True,3.907985046680551e-13,27
True,8,33.23346825094319,1.3847278437892996,1.421448184010797,0.917031286767121,2.7882192128858945,True,9.237055564881302e-14,28
