endpoint,profile,optimizer_success,data_chi2_per_row,data_chi2,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nlo_scale_nuisance_sigma,max_absolute_pull,min_prediction,max_prediction,pass_operational_gate
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,early_0p18_0p28,True,0.9141470095013574,21.93952822803258,25.032752199769018,1.0430313416570425,1.3607275554315426,0.9605605319144724,2.467526903980229,1.4302776159953619,3.907731123703686,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,central_0p20_0p30,True,0.9382816093467747,22.518758624322597,25.618137565578934,1.067422398565789,1.3541412042002745,0.9256995626750113,2.4349783684342214,1.4227540236349385,3.9080807404491433,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,late_0p22_0p32,True,0.9484303210358317,22.762327704859953,25.82745379009386,1.0761439079205775,1.3500240255376164,0.8840112568645325,2.394332410886809,1.420155472535753,3.9112304026914275,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,early_0p18_0p28,True,0.9192567318632596,22.06216156471823,25.15491287417991,1.0481213697574963,1.360269606691244,0.9616193611926143,2.465485915249478,1.4313581556905381,3.9010483427384672,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,central_0p20_0p30,True,0.9449833565231653,22.679600556555968,25.781673153875992,1.0742363814114997,1.3536560429227522,0.929649843117958,2.4316210317920843,1.424816495767908,3.9004121799048637,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,late_0p22_0p32,True,0.9550754402022633,22.921810564854315,25.99253076666161,1.083022115277567,1.3503122533785104,0.8905565922993048,2.3823789002650106,1.4225142675884368,3.904234944713737,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,early_0p18_0p28,True,0.9149338120099181,21.95841148823804,25.036394000376934,1.043183083349039,1.355194677080797,0.9622464603727047,2.46739520423862,1.4308677537142558,3.903387042876538,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,central_0p20_0p30,True,0.9395430722986843,22.54903373516842,25.63862852871243,1.0682761886963512,1.3488558739092253,0.9305639221483342,2.4305883345778763,1.4242008504456827,3.90349260781113,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,late_0p22_0p32,True,0.9491673837170772,22.78001720920985,25.844965708093653,1.0768735711705688,1.345567465259985,0.8934323403455561,2.3759064323614885,1.4222904165054877,3.907783330489781,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,early_0p18_0p28,True,0.9132153926393108,21.91716942334346,24.996418332158527,1.0415174305066053,1.3562569252595533,0.9620381322231545,2.46701433009736,1.4305581398705696,3.9070988611965913,True
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,central_0p20_0p30,True,0.9366572970978009,22.479775130347218,25.567144906930913,1.0652977044554548,1.349969319542602,0.9290932578863956,2.4308604243767618,1.423462415790035,3.9074212749112776,True
