,LHCb_7:10,LHCb_7:11,LHCb_7:12,LHCb_7:13
LHCb_7:10,0.000811735539173554,0.00027145605016139934,9.812695872129353e-05,5.115510319345243e-06
LHCb_7:11,0.00027145605016139934,0.000278936293385042,5.457874940445297e-05,2.949492210454167e-06
LHCb_7:12,9.812695872129353e-05,5.457874940445297e-05,3.3513676009513005e-05,1.011572111509988e-06
LHCb_7:13,5.115510319345243e-06,2.949492210454167e-06,1.011572111509988e-06,1.1253438265576001e-07
