endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,early_0p18_0p28,True,40.800015270591516,10.200003817647879,52.16081224781097,13.040203061952743,3.076606895903084,1.3766942236027027,4.735795800842799,0.007304565893215497,0.8612870214971997
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,central_0p20_0p30,True,24.47408713292256,6.11852178323064,41.441640209296466,10.360410052324116,3.7275355980875875,1.7530064008336426,3.3129655929012407,0.0075232159352595085,0.9100857187114874
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s303,late_0p22_0p32,True,18.04271061716582,4.510677654291455,35.10286804796944,8.77571701199236,3.631910661902982,1.9670745727498629,3.1608471239729172,0.007647596748907858,0.9372569754721073
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,early_0p18_0p28,True,42.90834359884488,10.72708589971122,53.223228674976305,13.305807168744076,2.9204402065688395,1.33638096214649,4.915328889014051,0.007281142531321676,0.8560623442942996
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,central_0p20_0p30,True,26.66915551177474,6.667288877943685,43.228738908828106,10.807184727207026,3.700353107381966,1.6932130042442957,3.3630700814207644,0.007488473959131025,0.902310936551098
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s304,late_0p22_0p32,True,19.556080091604585,4.889020022901146,36.82461540293329,9.206153850733322,3.6893917812120867,1.9123084468917175,3.2070031605275813,0.007615775786297545,0.9301331207969677
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,early_0p18_0p28,True,40.85483428421593,10.213708571053983,52.189193733152145,13.047298433288036,3.0727844973067415,1.3756289041916674,4.740540233930954,0.007303946906777888,0.8611489529455606
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,central_0p20_0p30,True,24.527332730106604,6.131833182526651,41.486830616546925,10.371707654136731,3.727163144070575,1.7515001524185685,3.3142121579870283,0.007522340754228408,0.9098904063329527
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,late_0p22_0p32,True,18.07812565315312,4.51953141328828,35.14513495233686,8.786283738084215,3.6335922093668493,1.965710292798073,3.1619006415972057,0.007646804056332737,0.937082684490045
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,early_0p18_0p28,True,38.79924599591922,9.699811498979805,51.09674315064181,12.774185787660452,3.2080753068740067,1.4162450282870653,4.559657835186269,0.007327546242059758,0.8664128945523233
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,central_0p20_0p30,True,22.65376637240293,5.663441593100733,39.83317545713129,9.958293864282822,3.7306000223883697,1.8061097856122308,3.2684404071740447,0.007554070789332944,0.9169915397076376
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,late_0p22_0p32,True,16.86404072849595,4.216010182123988,33.62868401949915,8.407171004874787,3.5652651325337636,2.0133374843135954,3.121672963099043,0.007674477057785773,0.9432808295535453
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,early_0p18_0p28,True,43.892596166813235,10.973149041703309,53.69895112184818,13.424737780462046,2.840637734381661,1.318003117235301,4.997173936528718,0.007270464384810239,0.8536805333777024
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,central_0p20_0p30,True,27.807130304988224,6.951782576247056,44.09961293528811,11.024903233822027,3.6775509216890483,1.6637613556889428,3.456689650934741,0.007471361559946182,0.8984812630974455
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,late_0p22_0p32,True,20.382470585427637,5.095617646356909,37.699021665869736,9.424755416467434,3.710288531650342,1.8842266563091736,3.230685746177949,0.007599459320705797,0.9264797850853974
