row_id,nonbeam_sigma_pb_per_GeV,beam_sigma_pb_per_GeV,luminosity_sigma_pb_per_GeV
LHCb_7:10,0.018867962264113206,0.012545455,0.017272727
LHCb_7:11,0.011392761397257822,0.007157895,0.009894737
LHCb_7:12,0.003931790480844064,0.002482759,0.003448276
LHCb_7:13,0.0002972088340561229,9.17874e-05,0.000125604
