dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj,mu_r,mu_f,scale_tag,ratio_to_data
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4922.486545388719,70.56385005227149,4.922486545388718,0.0705638500522714,0.1697409153582317,0.002433236208699,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.txt,True,0.5,1.0,mur0p5_muf1,0.8503172459639915
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1461.938350443413,13.67515423407974,1.461938350443413,0.0136751542340797,0.0070625041084222,6.606354702453981e-05,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur0p5_muf1/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur0p5_muf1.txt,True,0.5,1.0,mur0p5_muf1,0.9643393468142137
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4390.939551750785,86.0833750449272,4.390939551750785,0.0860833750449271,0.7983526457728699,0.0156515227354413,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.txt,True,1.0,0.5,mur1_muf0p5,0.7958926141288256
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4337.463880825338,119.4323236570432,4.337463880825338,0.1194323236570432,0.4565751453500355,0.0125718235428466,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.txt,True,1.0,0.5,mur1_muf0p5,0.7936804903992052
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4420.388723563209,75.72446700847343,4.420388723563209,0.0757244670084734,0.1524271973642486,0.0026111885175335,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.txt,True,1.0,0.5,mur1_muf0p5,0.7635841623643751
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1401.43724506678,15.80134812820532,1.40143724506678,0.0158013481282053,0.0067702282370375,7.6335015112103e-05,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf0p5/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf0p5.txt,True,1.0,0.5,mur1_muf0p5,0.9244309632474615
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4660.158792946274,78.01584640532992,4.660158792946274,0.0780158464053299,0.8473015987175043,0.0141846993464236,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True,1.0,2.0,mur1_muf2,0.8446907365177849
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4727.581774529426,196.8074307269121,4.727581774529426,0.1968074307269121,0.4976401867925711,0.0207165716554644,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True,1.0,2.0,mur1_muf2,0.8650652833786568
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4607.031234379972,63.41826983271409,4.607031234379972,0.063418269832714,0.1588631460131025,0.0021868368907832,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True,1.0,2.0,mur1_muf2,0.7958250520680121
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1366.375674477371,17.37400301037062,1.366375674477371,0.0173740030103706,0.0066008486689728,8.393238169261168e-05,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur1_muf2/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur1_muf2.txt,True,1.0,2.0,mur1_muf2,0.9013032765907698
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4170.992256635383,104.2528266970521,4.170992256635382,0.1042528266970521,0.7583622284791605,0.018955059399464,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.txt,True,2.0,1.0,mur2_muf1,0.7560254226959209
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4147.916219552071,57.94776663978315,4.147916219552071,0.0579477666397831,0.4366227599528496,0.0060997649094508,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.txt,True,2.0,1.0,mur2_muf1,0.7589965633656128
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4268.52872884165,107.9563417987841,4.26852872884165,0.107956341798784,0.1471906458221258,0.0037226324758201,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.txt,True,2.0,1.0,mur2_muf1,0.7373516533888637
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1268.020356562859,8.202035144070598,1.268020356562859,0.0082020351440705,0.0061257022056176,3.962335818391593e-05,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf1/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur2_muf1.txt,True,2.0,1.0,mur2_muf1,0.8364250941389366
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,4308.811409170272,122.0575436834933,4.308811409170272,0.1220575436834933,0.7834202562127767,0.022192280669726,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.txt,True,2.0,2.0,mur2_muf2,0.7810062370057594
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,4146.1210375403,105.5510213022614,4.1461210375403,0.1055510213022614,0.4364337934252947,0.0111106338212906,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.txt,True,2.0,2.0,mur2_muf2,0.7586680762637934
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,4214.927428311181,39.3362253901368,4.214927428311181,0.0393362253901368,0.1453423251141786,0.0013564215651771,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.txt,True,2.0,2.0,mur2_muf2,0.7280924893816298
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,1284.468665164846,18.04729895385992,1.284468665164846,0.0180472989538599,0.0062051626336465,8.718501910077256e-05,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.in,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.log,reports/lhcb7_external_true_nnlo_scale_mur2_muf2/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_o2_mur2_muf2.txt,True,2.0,2.0,mur2_muf2,0.8472749026610424
