dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E605,E605:19,,1.7,,,8.5,8.0,9.0,-0.226298838,-0.213920253,-0.240184026,-0.1,0.0,0.0,0.174705615,0.274705615,38.8,,0.0875,0.00678,0.0875,0.00678,,,,,0.19999999999999998,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,19
E605,E605:20,,1.9,,,8.5,8.0,9.0,-0.226298838,-0.213920253,-0.240184026,-0.1,0.0,0.0,0.174705615,0.274705615,38.8,,0.0713,0.00703,0.0713,0.00703,,,,,0.22352941176470587,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,20
E605,E605:21,,2.1,,,8.5,8.0,9.0,-0.226298838,-0.213920253,-0.240184026,-0.1,0.0,0.0,0.174705615,0.274705615,38.8,,0.0482,0.00633,0.0482,0.00633,,,,,0.24705882352941178,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,21
E605,E605:22,,2.3,,,8.5,8.0,9.0,-0.226298838,-0.213920253,-0.240184026,-0.1,0.0,0.0,0.174705615,0.274705615,38.8,,0.0272,0.00542,0.0272,0.00542,,,,,0.27058823529411763,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,22
E605,E605:23,,2.5,,,8.5,8.0,9.0,-0.226298838,-0.213920253,-0.240184026,-0.1,0.0,0.0,0.174705615,0.274705615,38.8,,0.0217,0.00515,0.0217,0.00515,,,,,0.29411764705882354,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,23
E605,E605:24,,2.7,,,8.5,8.0,9.0,-0.226298838,-0.213920253,-0.240184026,-0.1,0.0,0.0,0.174705615,0.274705615,38.8,,0.0184,0.00571,0.0184,0.00571,,,,,0.31764705882352945,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,24
E605,E605:25,,0.1,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0701,0.0084,0.0701,0.0084,,,,,0.009090909090909092,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,25
E605,E605:26,,0.3,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0784,0.00554,0.0784,0.00554,,,,,0.02727272727272727,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,26
E605,E605:27,,0.5,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0712,0.00412,0.0712,0.00412,,,,,0.045454545454545456,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,27
E605,E605:28,,0.7,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0624,0.00331,0.0624,0.00331,,,,,0.06363636363636363,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,28
E605,E605:29,,0.9,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0503,0.00265,0.0503,0.00265,,,,,0.08181818181818182,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,29
E605,E605:30,,1.1,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.039,0.00207,0.039,0.00207,,,,,0.1,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,30
E605,E605:31,,1.3,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0312,0.00176,0.0312,0.00176,,,,,0.11818181818181818,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,31
E605,E605:32,,1.5,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0234,0.0015,0.0234,0.0015,,,,,0.13636363636363635,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,32
E605,E605:33,,1.7,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0147,0.00103,0.0147,0.00103,,,,,0.15454545454545454,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,33
E605,E605:34,,1.9,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0131,0.00106,0.0131,0.00106,,,,,0.17272727272727273,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,34
E605,E605:35,,2.1,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.00705,0.000719,0.00705,0.000719,,,,,0.19090909090909092,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,35
E605,E605:36,,2.3,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.005,0.000607,0.005,0.000607,,,,,0.20909090909090908,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,36
E605,E605:37,,2.5,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.00459,0.000622,0.00459,0.000622,,,,,0.22727272727272727,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,37
E605,E605:38,,2.7,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.0033,0.000587,0.0033,0.000587,,,,,0.24545454545454548,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,38
E605,E605:39,,2.9,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.00215,0.000493,0.00215,0.000493,,,,,0.2636363636363636,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,39
E605,E605:40,,3.1,,,11.0,10.5,11.5,-0.175461928,-0.167905599,-0.183726531,-0.1,0.0,0.0,0.237880483,0.337880483,38.8,,0.00159,0.000524,0.00159,0.000524,,,,,0.2818181818181818,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,40
E605,E605:41,,0.1,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0508,0.00642,0.0508,0.00642,,,,,0.008,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,41
E605,E605:42,,0.3,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0679,0.00479,0.0679,0.00479,,,,,0.024,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,42
E605,E605:43,,0.5,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0646,0.00387,0.0646,0.00387,,,,,0.04,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,43
E605,E605:44,,0.7,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0492,0.00263,0.0492,0.00263,,,,,0.055999999999999994,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,44
E605,E605:45,,0.9,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0417,0.00219,0.0417,0.00219,,,,,0.07200000000000001,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,45
E605,E605:46,,1.1,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0323,0.00176,0.0323,0.00176,,,,,0.08800000000000001,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,46
E605,E605:47,,1.3,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0247,0.00146,0.0247,0.00146,,,,,0.10400000000000001,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,47
E605,E605:48,,1.5,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0194,0.00119,0.0194,0.00119,,,,,0.12,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,48
E605,E605:49,,1.7,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.0137,0.000976,0.0137,0.000976,,,,,0.136,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,49
E605,E605:50,,1.9,,,12.5,11.5,13.5,-0.154583607,-0.143213646,-0.167905599,-0.1,0.0,0.0,0.276021861,0.376021861,38.8,,0.00866,0.000731,0.00866,0.000731,,,,,0.152,A_direct_no_PreFactor,Data/global_dy_raw/E605.csv,50
