dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E288_300,E288_300:24,,1.9,,,5.5,5.0,6.0,0.21,0.19272276,0.230651048,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,23.72340616,300.0,0.124,0.025,0.124,0.025,,,,,0.34545454545454546,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,24
E288_300,E288_300:25,,2.1,,,5.5,5.0,6.0,0.21,0.19272276,0.230651048,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,23.72340616,300.0,0.103,0.022,0.103,0.022,,,,,0.38181818181818183,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,25
E288_300,E288_300:26,,2.3,,,5.5,5.0,6.0,0.21,0.19272276,0.230651048,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,23.72340616,300.0,0.079,0.023,0.079,0.023,,,,,0.41818181818181815,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,26
E288_300,E288_300:27,,2.5,,,5.5,5.0,6.0,0.21,0.19272276,0.230651048,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,23.72340616,300.0,0.032,0.013,0.032,0.013,,,,,0.45454545454545453,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,27
E288_300,E288_300:28,,2.7,,,5.5,5.0,6.0,0.21,0.19272276,0.230651048,0.098089455,0.089172232,0.107006678,0.286014128,0.187924673,23.72340616,300.0,0.014,0.012,0.014,0.012,,,,,0.49090909090909096,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,28
E288_300,E288_300:32,,0.1,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.849,0.07,0.849,0.07,,,,,0.015384615384615385,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,32
E288_300,E288_300:33,,0.3,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.783,0.043,0.783,0.043,,,,,0.04615384615384615,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,33
E288_300,E288_300:34,,0.5,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.655,0.035,0.655,0.035,,,,,0.07692307692307693,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,34
E288_300,E288_300:35,,0.7,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.54,0.033,0.54,0.033,,,,,0.10769230769230768,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,35
E288_300,E288_300:36,,0.9,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.414,0.03,0.414,0.03,,,,,0.13846153846153847,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,36
E288_300,E288_300:37,,1.1,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.286,0.024,0.286,0.024,,,,,0.16923076923076924,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,37
E288_300,E288_300:38,,1.3,,,6.5,6.0,7.0,0.21,0.195194535,0.227215687,0.115923901,0.107006678,0.124841124,0.338016697,0.222092796,23.72340616,300.0,0.187,0.019,0.187,0.019,,,,,0.2,A_direct_no_PreFactor,Data/global_dy_raw/E288_300.csv,38
