dataset,row_id,target,qT,qT_low,qT_high,QM,QM_Low,QM_High,y,y_Low,y_High,xF,xF_Low,xF_High,x1,x2,SqrtS,BeamE,CS,error,A,dA,PreFactor,sysNorm,sysP2P,unit,qT_over_Q,conversion_mode,source_file,source_row
E288_200,E288_200:0,,0.1,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,6.29,0.32,6.29,0.32,,,,,0.022222222222222223,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,0
E288_200,E288_200:1,,0.3,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,5.88,0.24,5.88,0.24,,,,,0.06666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,1
E288_200,E288_200:2,,0.5,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,4.75,0.23,4.75,0.23,,,,,0.1111111111111111,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,2
E288_200,E288_200:3,,0.7,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,3.69,0.22,3.69,0.22,,,,,0.15555555555555556,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,3
E288_200,E288_200:4,,0.9,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,2.93,0.22,2.93,0.22,,,,,0.2,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,4
E288_200,E288_200:5,,1.1,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,1.68,0.16,1.68,0.16,,,,,0.24444444444444446,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,5
E288_200,E288_200:6,,1.3,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,1.26,0.14,1.26,0.14,,,,,0.2888888888888889,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,6
E288_200,E288_200:7,,1.5,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,0.678,0.124,0.678,0.124,,,,,0.3333333333333333,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,7
E288_200,E288_200:8,,1.7,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,0.598,0.102,0.598,0.102,,,,,0.37777777777777777,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,8
E288_200,E288_200:9,,1.9,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,0.059,0.067,0.059,0.067,,,,,0.4222222222222222,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,9
E288_200,E288_200:10,,2.1,,,4.5,4.0,5.0,0.4,0.361736263,0.44705553,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,19.37008002,200.0,0.176,0.062,0.176,0.062,,,,,0.4666666666666667,A_direct_no_PreFactor,Data/global_dy_raw/E288_200.csv,10
