dataset,row_id,qT,qT_low,qT_high,qT_over_Q,data_pb_per_GeV,data_bin_pb,dyturbo_raw_fb_bin,dyturbo_raw_unc_fb_bin,dyturbo_pb_bin,dyturbo_pb_bin_unc,dyturbo_pb_per_GeV,dyturbo_pb_per_GeV_unc,card,log,txt,true_nlo_vj
LHCb_7,LHCb_7:10,21.75,19.0,24.5,0.2416666666666666,1.003090909,5.516999999499999,3466.602433244081,1.010577386044639,3.466602433244081,0.0010105773860446389,0.6302913514989238,0.0001837413429172071,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/cards/LHCb_7_10_dyturbo_vj_true_nlo_fid_mur0p5_muf1.in,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/logs/LHCb_7_10_dyturbo_vj_true_nlo_fid_mur0p5_muf1.log,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/tables/LHCb_7_10_dyturbo_vj_true_nlo_fid_mur0p5_muf1.txt,True
LHCb_7,LHCb_7:11,29.25,24.5,34.0,0.325,0.575263158,5.465000001000001,3338.385588210898,1.003800018679601,3.338385588210898,0.001003800018679601,0.3514090092853577,0.00010566315986101063,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/cards/LHCb_7_11_dyturbo_vj_true_nlo_fid_mur0p5_muf1.in,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/logs/LHCb_7_11_dyturbo_vj_true_nlo_fid_mur0p5_muf1.log,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/tables/LHCb_7_11_dyturbo_vj_true_nlo_fid_mur0p5_muf1.txt,True
LHCb_7,LHCb_7:12,48.5,34.0,63.0,0.5388888888888889,0.19962069,5.78900001,3367.449163728547,1.118353759803158,3.367449163728547,0.0011183537598031582,0.11611893668029472,3.8563922751833036e-05,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/cards/LHCb_7_12_dyturbo_vj_true_nlo_fid_mur0p5_muf1.in,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/logs/LHCb_7_12_dyturbo_vj_true_nlo_fid_mur0p5_muf1.log,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/tables/LHCb_7_12_dyturbo_vj_true_nlo_fid_mur0p5_muf1.txt,True
LHCb_7,LHCb_7:13,166.5,63.0,270.0,1.85,0.007323671,1.5159998970000002,987.6935242784828,0.4008161846954617,0.9876935242784828,0.0004008161846954617,0.0047714663008622355,1.9363100709925688e-06,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/cards/LHCb_7_13_dyturbo_vj_true_nlo_fid_mur0p5_muf1.in,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/logs/LHCb_7_13_dyturbo_vj_true_nlo_fid_mur0p5_muf1.log,reports/lhcb7_external_true_nlo_scale_mur0p5_muf1/tables/LHCb_7_13_dyturbo_vj_true_nlo_fid_mur0p5_muf1.txt,True
